"GDP","GDPDEF","CREDIT","INFLOWS","EULEV","FFR","VIX"
10083.9,59.105,9.57509964348106,18.177,1.13560995782576,8.29,2.7408400239252
10090.6,59.611,9.65426511211181,42.848,1.13596885211124,8.2,3.37108175775753
9998.7,60.055,9.6877082636607,33.678,1.11871037465413,7.31,3.27260614728917
9951.9,60.643,9.63291436196133,7.93899999999996,1.12752683488629,6.12,2.82612948916781
10029.5,61.088,9.63832319113806,11.076,1.1396126424051,5.9,2.97297528643137
10080.2,61.566,9.67865126884731,9.50300000000004,1.14558325858405,5.45,2.76316950032329
10115.3,61.931,9.74469780186912,12.316,1.12551109352687,4.43,2.96062309644042
10236.4,62.161,9.70229390615336,17.568,1.12329267887408,3.98,2.78377591163035
10347.4,62.535,9.76094022932659,16.706,1.13596271073624,3.76,2.59151638484626
10449.7,62.841,9.80115711764873,20.5619999999999,1.15831083760129,3.22,2.65885995691144
10558.6,63.273,9.74329054394899,13.1690000000001,1.11854755096553,2.92,2.53131302260216
10576.3,63.628,9.77268053952501,-1.62100000000009,1.1103434796697,3.07,2.52812576890798
10637.8,64.007,9.805147349234,39.2850000000001,1.11672598957259,3.04,2.42125662271154
10688.6,64.387,9.82290129408318,10.593,1.10897530616431,3.09,2.56417983068251
10834,64.738,9.79963687474634,8.77800000000002,1.10648542514249,2.96,2.45616418092235
10939.1,65.048,9.82861521059544,15.491,1.07690489541495,3.34,3.01798288248881
11087.4,65.362,9.86996566625354,2.82600000000002,1.07534033379292,4.25,2.70604819843154
11152.2,65.737,9.90311544840013,9.77499999999998,1.08048649452932,4.73,2.65885995691144
11279.9,66.093,9.91438789982647,-0.754000000000019,1.0853772802071,5.45,2.58021682959233
11320,66.452,9.99149132626486,17.7760000000001,1.11328061910791,5.98,2.59301339111385
11353.7,66.771,10.0287374761223,67.732,1.11342094368618,6,2.43185742869818
11450.3,67.1,9.96913790645778,17.814,1.11778084667069,5.8,2.54474665014402
11528.1,67.423,9.96812463194825,82.9169999999999,1.10616932119748,5.6,2.52732736567195
11614.4,67.747,9.95930347419496,-19.288,1.1066505149186,5.31,2.93810316071735
11808.1,68.028,9.95957250739584,9.95500000000015,1.12197432932287,5.27,2.6159349121944
11914.1,68.251,9.964134547191,16.9369999999999,1.133950699922,5.3,2.83026783382646
12037.8,68.615,9.96749681145676,27.7570000000001,1.14979040111605,5.29,3.04070563919672
12115.5,69.025,9.92594875010554,49.309,1.15174392766417,5.39,3.09738592728049
12317.2,69.162,9.96868345444628,36.4010000000001,1.1908030727563,5.56,3.06944731137627
12471,69.464,9.94446391033767,38.058,1.21112845360558,5.54,3.1315734964654
12577.5,69.695,9.93913478956806,48.123,1.22784282656765,5.5,3.17847041023316
12703.7,69.794,9.91489833115065,-61.126,1.20803468678438,5.49,3.18717873812495
12821.3,69.959,9.91232084889008,26.3129999999999,1.22433792561924,5.56,2.98112612116463
12982.8,70.255,9.94617960406306,-30.1679999999999,1.23252277145161,5.51,3.71235181029908
13191.7,70.453,10.015609118556,9.44499999999994,1.24070761728397,4.68,3.19540246868256
13315.6,70.682,10.0008127601977,18.71,1.24889246311634,4.81,3.14673514709052
13426.7,70.949,10.0049008548656,36.642,1.2570773089487,4.76,3.04879899449068
13604.8,71.2,10.0672622481285,-4.80400000000009,1.26526215478106,5.22,3.23514279733207
13828,71.595,10.1033824206726,23.2259999999999,1.27344700061343,5.3,3.2092294478164
13878.1,72.071,10.100185702218,9.58300000000008,1.28163184644579,5.85,3.18262669219308
14130.9,72.52,10.104018540011,1.58200000000011,1.28981669227815,6.53,2.97246364661464
