"GDP","GDPDEF","CREDIT","INFLOWS","BDLEV","WXSR","VIX"
10083.9,59.105,9.57509964348106,0.0312682698654179,20.0335556695741,7.66850936415486,2.7408400239252
10090.6,59.611,9.65426511211181,0.0700549815474512,20.966324774064,7.51045173170882,3.37108175775753
9998.7,60.055,9.6877082636607,0.0518121805036929,22.9296133798328,6.7576338713869,3.27260614728917
9951.9,60.643,9.63291436196133,0.0118325173980285,22.3553745127647,5.75942857834753,2.82612948916781
10029.5,61.088,9.63832319113806,0.0162775118626488,23.4240033222591,5.52920423423313,2.97297528643137
10080.2,61.566,9.67865126884731,0.0137576771542767,25.1167573486637,5.01706150028372,2.76316950032329
10115.3,61.931,9.74469780186912,0.0175530614767592,24.4961164392814,3.74803748176444,2.96062309644042
10236.4,62.161,9.70229390615336,0.0245168600329775,23.8171563398946,3.52929196186183,2.78377591163035
10347.4,62.535,9.76094022932659,0.0227692356648941,24.3935256352292,3.41979860362263,2.59151638484626
10449.7,62.841,9.80115711764873,0.0273311579401092,27.0039586144849,2.84950075215069,2.65885995691144
10558.6,63.273,9.74329054394899,0.017119901567078,25.3130292588916,2.75757713285953,2.53131302260216
10576.3,63.628,9.77268053952501,-0.0020915745330532,26.8006678725477,2.92547776657819,2.52812576890798
10637.8,64.007,9.805147349234,0.0494969999945605,27.0292838663511,3.13662932663363,2.42125662271154
10688.6,64.387,9.82290129408318,0.0129376347729604,26.1714424714181,3.03764463590414,2.56417983068251
10834,64.738,9.79963687474634,0.0105955212937401,25.7802633780263,3.12744610945956,2.45616418092235
10939.1,65.048,9.82861521059544,0.0184289044319481,27.196936025344,3.6875159333393,3.01798288248881
11087.4,65.362,9.86996566625354,0.00332563229860217,28.1616019074962,4.68378122592799,2.70604819843154
11152.2,65.737,9.90311544840013,0.0114186561991474,29.0228473998295,5.07684064075015,2.65885995691144
11279.9,66.093,9.91438789982647,-0.000876158438526176,27.2191583833695,7.11696591754881,2.58021682959233
11320,66.452,9.99149132626486,0.0204543851341414,28.3280744922082,5.99939187314693,2.59301339111385
11353.7,66.771,10.0287374761223,0.0743147580676693,28.8713948673504,5.67747200995314,2.43185742869818
11450.3,67.1,9.96913790645778,0.018661506785314,29.2234893816731,5.54190451131708,2.54474665014402
11528.1,67.423,9.96812463194825,0.0825530941116561,30.1694170424115,5.33246134496444,2.52732736567195
11614.4,67.747,9.95930347419496,-0.0186040572346178,30.9970509207681,5.15158036118086,2.93810316071735
11808.1,68.028,9.95957250739584,0.00964521032653121,31.1186127820365,5.26490948898661,2.6159349121944
11914.1,68.251,9.964134547191,0.016199135278546,31.3345971363213,5.29365760174813,2.83026783382646
12037.8,68.615,9.96749681145676,0.0259931228895658,31.9813074308732,5.22491331019614,3.04070563919672
12115.5,69.025,9.92594875010554,0.0445723275190355,32.8421011368091,5.491629838658,3.09738592728049
12317.2,69.162,9.96868345444628,0.0316747635838839,33.0819501682483,5.32470041499037,3.06944731137627
12471,69.464,9.94446391033767,0.0320776034213575,33.2397565424823,5.52925471321592,3.1315734964654
12577.5,69.695,9.93913478956806,0.0391412388652856,31.419512028314,5.4233050386952,3.17847041023316
12703.7,69.794,9.91489833115065,-0.0499856324989025,33.8957659859655,5.36670399251365,3.18717873812495
12821.3,69.959,9.91232084889008,0.0218243500279103,33.413834034747,5.29416504942893,2.98112612116463
12982.8,70.255,9.94617960406306,-0.0250621195784673,34.0598333674578,4.84767091690398,3.71235181029908
13191.7,70.453,10.015609118556,0.00791420137040699,29.9139249838725,4.69305814446258,3.19540246868256
13315.6,70.682,10.0008127601977,0.0154950313771653,30.0359852111535,4.72902102600073,3.14673514709052
13426.7,70.949,10.0049008548656,0.0296673916689398,27.9502337053541,4.926389087238,3.04879899449068
13604.8,71.2,10.0672622481285,-0.00383981646802045,27.1988257590818,5.17266376850968,3.23514279733207
13828,71.595,10.1033824206726,0.0184292623624502,27.5097486700615,5.82636795344202,3.2092294478164
13878.1,72.071,10.100185702218,0.00750599681302688,28.8483044565922,6.06302629790308,3.18262669219308
14130.9,72.52,10.104018540011,0.0012337198525616,28.1312408244091,6.46070069383597,2.97246364661464
14145.3,72.944,10.1117332651143,0.00957607190535548,27.9987505299092,6.52055231529091,3.02383370366487
14229.8,73.337,10.1061144399262,0.0330637491856196,28.0027310271326,5.98895430540875,3.29026582095487
14183.1,73.822,10.0800783407345,0.0924950027050828,28.1653584171262,4.29516060628621,3.35480434209244
14271.7,74.266,10.0891399679042,0.0200009363517202,29.4864956864914,3.27215831423739,2.94759189822606
14214.5,74.558,10.1196839745287,-0.00609495324463882,30.9714676651216,2.17295962684192,3.46354600672669
14253.6,74.792,10.1318778612807,0.03028909422562,30.6534131292426,0.674666983016517,3.16968558067743
14372.8,75.027,10.1506195897893,0.0130702626693502,30.5675446820093,1.39709700433259,2.85647020622048
14460.8,75.289,10.201634299699,0.0098700722346079,30.1262046949113,1.02043057988522,3.23474917402449
14519.6,75.65,10.1997229123029,0.0353207930382018,30.3992460694474,1.58505416394464,3.68109926679497
14537.6,76.089,10.2443592938651,0.0277755232174828,29.2431278220012,1.12457930507984,3.3541057741283
14614.1,76.461,10.2613409355138,0.0335098115015748,30.6229896309911,1.05894085723081,3.3724549127965
14743.6,76.73,10.2995436089768,0.049283615275475,32.8623652435369,1.10038591922318,2.97143958098495
14988.8,77.169,10.3306232619297,0.0226473589348624,31.0267405970883,0.855586468881595,3.12324559385295
15162.8,77.639,10.3901530132328,0.0322148492502148,31.5304391940861,0.740095504779112,2.90744735868642
15248.7,78.193,10.3970570093549,0.0906837298351642,33.364894015296,0.907943657718065,2.81780106506133
15366.9,78.824,10.3922412151958,-0.0215550995736384,34.7755939064664,1.32480405146639,2.66305283517147
15512.6,79.324,10.411213336595,0.0149578556606969,35.9949529313478,1.92645593398973,2.59076704048748
15670.9,79.939,10.493701927752,0.0377833342980871,36.8477286171097,2.53487993883285,2.58701187272515
15844.7,80.578,10.4830780876104,0.0951680705463804,38.5078965438315,2.96344404553743,2.64048488160644
15922.8,81.158,10.4706154726473,0.021891921588165,38.9543056221757,3.31739459862898,2.48823443988067
16047.6,81.898,10.490342977483,0.0450069913572149,39.4773525194086,4.13786694864163,2.4782176616372
16136.7,82.571,10.4952034655733,0.0173435602560748,37.852514631166,4.36298874870074,2.49072303510944
16353.8,83.156,10.5367780067596,0.082552847875764,38.7733566105896,4.76590061397672,2.43273577745909
16396.2,83.882,10.5903074359451,0.058384708540661,38.7348217430732,5.2625752369177,2.57108434602905
16420.7,84.468,10.6117760763742,0.0463025113602367,40.4050938219154,5.15401919502837,2.4832385926873
16561.9,84.77,10.6661849826341,0.07270913190459,41.4940501566929,5.16808265104887,2.44755086324423
16611.7,85.576,10.7015999652738,0.074988840502412,43.7383880932322,5.17541857240678,2.68375750853317
16713.3,86.171,10.7428528524256,0.0736066203112511,44.9729206032913,5.00676996358137,2.7868613815265
16809.6,86.642,10.8085180296894,0.0263023436414187,44.8129792811132,4.29143551383653,2.89037175789616
16915.2,86.993,10.8540664168087,-0.000353559457874297,45.5898273758918,3.69865434177768,3.11351530921037
16843,87.315,10.9295102209919,0.0619782407821585,46.9588733061128,1.87452862600577,3.24298290021143
16943.3,87.738,10.9435193891413,-0.0429108725002312,41.1869584591771,2.0540120740171,3.17596832385692
16854.3,88.399,10.9000764951307,-0.00341330533229822,43.0458233924829,1.91130426170128,3.67351197698281
16485.4,88.613,10.8850983870474,-0.108140978121563,30.7788608956317,0.649730963760244,3.68887945411394
16298.3,88.543,10.8337593873225,-0.0104653957766896,28.0825137132269,0.750245201133062,3.78736640082859
16269.1,88.396,10.8816977235241,0.00634014475092037,24.3576943807268,0.0215336786947056,3.27146827498737
16326.3,88.501,10.9029190941951,0.0133924359835227,24.0256079719877,-0.406046107991633,3.24298290021143
16502.8,88.781,10.8952096652501,-0.0336681716633382,22.6291484096666,-0.153977591909982,3.07639017657145
16582.7,89.036,10.8854316328621,0.0317881165797065,23.3223133061206,-0.47634944389552,2.86733055874947
16743.2,89.471,10.8684093104059,-0.0152170623574044,22.7510240883387,-0.542088200647739,3.54211807271853
16872.3,89.743,10.9439381320515,0.0597750869341649,22.9566972125906,-0.795698811889614,3.16547504814109
16960.9,90.264,10.9602908263404,-0.0040423097297424,22.0008410787101,-0.884818562231481,2.87638551592142
16920.6,90.726,10.9947272656944,0.0442466833905293,22.5455466432719,-0.9914596073748,2.87582197688143
17035.1,91.326,11.0217814473418,0.00924198797010334,22.6975192028233,-1.12186599861687,2.80457176809283
17031.3,91.876,11.0137618821663,-0.0227726091657345,22.9017422125135,-1.40245812380008,3.76026945020061
17222.6,91.985,11.0063243510474,-0.00382697879170379,23.4203680884498,-1.46643799480887,3.15273602236366
17367,92.525,11.0269060957296,-0.00240362103747671,23.16360382054,-1.26608957943896,2.7408400239252
17444.5,92.907,11.0135778835592,-0.0269984703554034,23.0226299234576,-1.11106693479822,2.83790818836042
17469.7,93.417,11.0469408766597,0.0275753693772138,22.4773883856065,-1.36046425687295,2.75556971707019
17489.9,93.885,11.0526281688109,0.0108191113252207,22.3926074437017,-1.42990080075533,2.89148225218019
17662.4,94.258,11.0460525809128,0.00970180937302523,21.6628547057715,-1.44058932608899,2.54160199346455
17709.7,94.461,11.04895231106,-0.0220956191810373,20.8630159366692,-0.969520218355705,2.82494395257371
17860.5,94.924,11.0747939354956,-0.0168059889031316,20.4802123311569,-1.80234780471166,2.8094026953625
18016.1,95.426,11.0783234097979,0.0159999653912202,19.9862898506538,-2.13323502669663,2.61885462229774
17954,95.788,11.0917225498497,0.0252814857650456,19.7921669209041,-2.62438688706391,2.63044895507866
18185.9,96.33,11.1149829331294,0.000584105798383305,20.0284361113277,-2.88858153972402,2.44841554120559
18406.9,96.726,11.0818099038457,0.0173342137675174,19.4597300869163,-2.80513891104033,2.79177841663292
18500,96.822,11.0722832765922,-0.035457986639603,18.7272562634933,-2.42074792801607,2.95491027903374
18666.6,96.769,11.0548733119022,0.0414784470366314,18.6422023152203,-1.80844507528458,2.72719901994097
18782.2,97.325,11.0760252141245,-0.0281108272090069,18.188066468854,-1.40202799414047,2.90306858869057
18857.4,97.583,11.0620611706661,0.0158262165451184,17.5788266599677,-0.742078595295798,3.19867311755068
18892.2,97.581,11.063126093688,0.0343491975835359,17.0581852827971,0.257343933402011,2.90197089373952
19001.7,97.496,11.1167086422818,0.0514870743364018,16.8421365763622,0.506534787355903,2.63547950826737
19062.7,98.159,11.118624259117,0.0188809433515313,17.0625755181708,0.417986941505961,2.74919214443339
19197.9,98.41,11.1300562262253,0.0185166850967295,16.8118400878739,0.510288419099323,2.58701187272515
19304.4,98.886,11.0900777091321,-0.0380358383886001,16.5496454746158,0.422156164009528,2.64191039859766
19398.3,99.39,11.1223840910573,0.0214989299160191,16.6068617078298,0.636018155030697,2.5152741864044
19506.9,99.65,11.1386396820229,0.00111505588523819,17.188941051317,1.05618329169534,2.41412646772695
19660.8,100.162,11.1626680785219,0.0268749663856607,16.2390155261851,1.10453559025884,2.2523438765573
19882.4,100.778,11.1834839563228,0.0069697139226701,16.0972632736186,1.40846047043339,2.40152504084895
20044.1,101.419,11.2213527653312,0.0267519516493682,15.9703612798418,1.64631903440365,2.99423114742772
20150.5,102.136,11.1871198262539,-0.025434047469977,16.8274225384439,1.89002249336376,2.77819796100429
20276.2,102.577,11.1781857854572,0.00561495373597154,16.6497723347464,2.16541811803027,2.49485698064117
20304.9,103.019,11.1859602088106,0.0341817135492573,17.1102955700408,2.53086883426369,3.23553626576131
20431.6,103.328,11.2100254721156,0.0148133245995048,17.3360047706389,2.4034558197094,2.61812549357422
20602.3,103.862,11.2244704841317,0.000178643116282018,17.3089984282221,2.18571970212691,2.71336936257981
20843.3,104.192,11.2211377505275,0.0177218385652065,17.2481180981009,1.95836814200176,2.78747733473353
20985.4,104.516,11.2478898671235,0.0218592901520491,16.4009519926104,1.60878113820007,2.62321826558551
20693.2,104.999,11.2579152274827,0.0910951885287776,16.6779702578706,0.691363936803738,3.98042903809221
19056.6,104.612,11.2835567014429,-0.048735651319797,15.4696518991014,0.40381232446004,3.41542896390888
20548.8,105.527,11.3113152320795,0.00763698608722407,15.654052603328,0.0790725601400126,3.2722270003652
20771.7,106.244,11.3570334680669,0.0528012639125937,15.6314944976397,-0.287665702873503,3.12456514539696
21058.4,107.59,11.3512898073985,0.0376979428417616,15.1351240538642,-1.56151388250159,2.96527306606928
21389,109.256,11.3730139027311,-0.013529744810608,14.886627886798,-1.82668725470846,2.76190687389292
21571.4,110.897,11.3625818190806,0.023676240470536,14.9497140912185,-1.80964930955821,3.14156272176553
21960.4,112.826,11.3738943778608,0.0265871764443908,14.7573546256991,-1.15481851209033,2.84607149899958
21903.9,115.119,11.3944621180271,0.00688915759336695,16.4290462007193,0.2,3.02334744058696
21919.2,117.731,11.3704100884637,-0.0499327123926872,16.0532611884351,1.21,3.35724549413297
22066.8,119.057,11.3456312115035,-0.0011500894783758,15.7809401172828,2.56,3.45378983178133
22249.5,120.157,11.3918461114135,-0.00631169193071912,15.0732349605854,4.1,3.07592881554827
22403.4,121.251,11.4174946086521,0.0295995615235345,15.8933369947494,4.65,2.92852352386054
22539.4,121.804,11.4062050948224,0.0299602733874984,15.7807729665166,5.08,2.60933422816305
22780.9,122.768,11.397174054285,0.0310018376964702,15.4776704083293,5.33,2.86334308550825
22960.6,123.241,11.421833925211,0.025821896620025,15.8503992041923,5.33,2.52172062291072
23053.5,124.163,11.4198132956166,0.0494925374607007,16.3456230421715,5.33,2.56571829252441
23223.9,124.943,11.4146708109198,-0.00456232906999787,16.2387290318527,5.33,2.52091708731103
23400.3,125.532,11.4558917961881,0.0411660249911741,16.6693983531199,5.13,2.81720351499873
23542.3,126.257,11.4047112356041,-0.000238744822503634,15.4315721966476,4.48,2.85359250639287
