Time Series Search Export,Search term,Search filters,,Last update of Credit to the non-financial sector data,Downloaded at,Source,Source URL,Download URL,About Credit to the non-financial sector
,,,,2025-06-16,2025-06-23 17:56 CEST,BIS,"https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.RU.P.B.M.USD.A?","https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.RU.P.B.M.USD.A?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code",https://data.bis.org/topics/TOTAL_CREDIT

DATAFLOW_ID,KEY,FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,Unit,Unit multiplier,TIME_PERIOD,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS,OBS_VALUE
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2004-09-30,F,,A,123.97
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2004-12-31,F,,A,151.284
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2005-03-31,F,,A,150.702
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2005-06-30,F,,A,162.217
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2005-09-30,F,,A,177.895
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2005-12-31,F,,A,196.277
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2006-03-31,F,,A,216.538
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2006-06-30,F,,A,247.068
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2006-09-30,F,,A,276.864
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2006-12-31,F,,A,315.918
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2007-03-31,F,,A,345.635
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2007-06-30,F,,A,393.956
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2007-09-30,F,,A,456.592
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2007-12-31,F,,A,511.919
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2008-03-31,F,,A,581.181
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2008-06-30,F,,A,636.612
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2008-09-30,F,,A,636.428
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2008-12-31,F,,A,574.506
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2009-03-31,F,,A,520.238
"BIS,WS_TC,2.0",Q.RU.P.B.M.USD.A,Q,RU,P,B,M,USD,A,US dollar,Billions,2009-06-30,F,,A,557.451
