"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,"Base Year",
"Ireland","178","Other Depository Corporations Survey, Claims on State and Local Government (Euro Area-Wide-Residency), Euros","FOSAOGEA_EUR","Value","10408000000","10224000000","10912000000","10928000000","12178000000","13424000000","13750000000","14082000000","14722000000","14666000000","15229000000","15229000000","16891000000","16103000000","18214000000","18205000000","17986000000","18280000000","28133000000","28029000000","27185000000","26329000000","25742000000","23181000000","21506000000","21378000000","21272000000","21211000000","20659000000","20645000000","20589000000","20902000000","19950000000","20116000000.0001","19972000000","19137000000","10691000000","10958000000","10535000000","11987000000","15430000000","7987000000","9391000000","9221999999.99999","11468000000","10700000000","11571000000","13037000000","7194000000","8477000000","6641000000","7274000000","9331000000","16466000000","14622000000","16171000000","13916000000","20029000000","17358000000","14608000000","13098000000","15616000000","12129000000","13179000000","13804000000","15137000000","8901000000","7185000000","9373000000","9378000000","8879000000","7018000000","8084000000","9455000000","17103000000","22737000000","18801000000","21584000000","20860000000","20503000000","13404000000","13404000000","20872000000","14813000000","11088000000","15830000000","8089000000","8154000000","8345000000","13314000000","13992000000","19770000000","20638000000","",
"Croatia, Rep. of","960","Other Depository Corporations Survey, Claims on Other Financial Corporations (Euro Area-Wide-Residency), Euros","FOSAOFEA_EUR","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"849000000","868000000","911000000","885000000","874000000","1085000000","1086000000","1117000000","1173000000","1229000000","1178000000","1209000000","1386000000","1345000000","1412000000","1386000000","1419000000","1415000000","1369000000","1380000000","1382000000","1114000000","1031000000","1013000000","959000000","1009000000","968000000","1039000000","1111000000","1213000000","1242000000","1141000000","1325000000","1114000000","967000000","1042000000","1161000000","1022000000","995000000","1052000000","1013000000","1125000000","1302000000","1066000000","1017000000","1021000000","1074000000","1105000000","1025000000","989000000","1131000000","1055000000","",
"Spain","184","Other Depository Corporations Survey, Net Claims on Central Government (Euro Area-Wide-Residency), Euros","FOSGEA_EUR","Value","95455000000","100102000000","106523000000","103408000000","104892000000","119706999999.999","122583000000","132784000000","132675000000","119966000000","123137000000","108426000000","104950000000.001","96312000000","102462000000","105662000000","124426000000","110231000000","79792000000","64250000000","61519000000","49749000000","54655000000","55660999999.9999","64874000000","67469000000","66004000000.0001","60373000000.0001","77726000000","88266000000.001","109594000000","122640000000.001","129207000000","126430000000","124755000000","117202000000","116228000000","110834000000","127852000000","122648000000","147821000000","198881000000","230077000000","219401000000","223354000000","238540000000","261735000000","260999000000","228153000000","251672000000","260537000000","274255000000","263756000000","241106000000","247085000000","253054000000","233188000000","254227000000","257520000000","263774000000","247217000000","251805000000","240241000000","248146000000","232864000000","247164000000","236375000000","235515000000","226126000000","238403000000","227695000000","219103000000","208449000000","218155000000","247668000000","246983000000","235863000000","268364000000","260028000000","238059000000","216602000000","229010000000","237063000000","252469000000","243753000000","255079000000","244598000000","243825000000","242243000000","206244000000","212480000000","207231000000","256052000000","",
"Spain","184","Other Depository Corporations Survey, Claims on Public Nonfinancial Corporations (Euro Area-Wide-Residency), Euros","FOSAONEA_EUR","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Luxembourg","137","Other Depository Corporations Survey, Claims on Public Nonfinancial Corporations (Euro Area-Wide-Residency), Euros","FOSAONEA_EUR","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Italy","136","Other Depository Corporations Survey, Claims on State and Local Government (Euro Area-Wide-Residency), Euros","FOSAOGEA_EUR","Value","33919000000","35552000000","35108000000","34210000000","34780000000","35113000000","35748000000","34936000000","35275000000","36733000000","36859000000","37601000000","38457000000","39712000000","41349000000","41959000000","43950000000","45620999999.9999","46437000000","47945000000","48024000000","49660000000","49099000000","48468000000","89135000000","90179000000","90564000000","90450999999.9999","94320000000","97700000000","97915999999.9999","98485000000","97261000000","101659000000","100487000000","101190000000","97595000000","100706000000","101002000000","100767000000","98698000000","99230000000","99366000000","99347000000","96691000000.0001","98037000000","96998000000","95617999999.9999","89223999999.9999","90027000000","87018000000","86552000000","83877000000","84904000000","83188000000","81621000000","79668000000","80796000000","79452000000","79198000000","78020000000","78576000000","77346000000","76696000000","75354000000","76095000000","76431000000","74370000000","73486000000","72832000000","73105000000","73065000000","70936000000","72380000000","72742000000","72464000000","71389000000","70589000000","74617000000","74379000000","73586000000","73586000000","75058000000","74516000000","74171000000","75535000000","73622000000","72969000000","70077000000","71082000000","70572000000","70709000000","69978000000","",
"Estonia, Rep. of","939","Other Depository Corporations Survey, Net Claims on Central Government (Euro Area-Wide-Residency), Euros","FOSGEA_EUR","Value",,,,,,,,,,"-157820678.956312","-132876285.586302","-207757483.897755","-170995631.34394","-121860000","-164080000","-193370000","-205430000","22010000","-24800000","13710000","-149990000","101790000","16350000","-151800000","-192430000","-278000000","-402000000","-359000000","-243000000","-111000000","267000000","281000000","-55000000","52000000","337000000","165000000","223000000","265000000","238000000","125000000","48000000","-182000000","-52999999.999999","-206000000","-295000000","-307000000","-524000000","-566000000","-454000000","-273000000","-59999999.9999996","-300000000","-536000000","-580000000","-708000000","-706000000","-590000000","-664000000","-630000000","-748000000","-506000000","-640000000","-761000000","-855000000","-625000000","-508000000","-589000000","-617000000","-365000000","-130000000","-633000000","-804000000","-817000000","-399000000","-634000000","-875000000","-856000000","-330000000","-449000000","-434000000","-299000000","-637000000","-729000000","-107000000","-447000000","17000000","-362000000","-454000000","-626000000","-670000000","-1307000000","-1164000000","-906000000","",
"Lithuania","946","Other Depository Corporations Survey, Claims on Private  Sector (Euro Area-Wide-Residency), Euros","FOSAOPEA_EUR","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17373000000","16963000000","16626000000","16524000000","16506000000","16642000000","15595000000","15490000000","15625000000","15644000000","15653000000","15353000000","14930000000","14968000000","15155000000","15068000000","15175000000","15181000000","15036000000","14933000000","15241000000","15581000000","15663000000","15915000000","16464000000","16885000000","16770000000","17065000000","17276000000","17560000000","17505000000","17748000000","18534000000","18602000000","18601000000","18730000000","19042000000","19306000000","19533000000","19755000000","19296000000","19339000000","18883000000","19109000000","19555000000","20201000000","21265000000","22122000000","22873000000","24102000000","24383000000","24444000000","24820000000","25427000000","25853000000","26294000000","26978000000","27910000000","29042000000","",
"Croatia, Rep. of","960","Other Depository Corporations Survey, Net Claims on Central Government (Euro Area-Wide-Residency), Euros","FOSGEA_EUR","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7452000000","7987000000","7963000000","8520000000","9031000000","9423000000","9405000000","9660000000","9586000000","9424000000","8900000000","10067000000","10146000000","9940000000","9974000000","10097000000","10106000000","10127000000","10219000000","10429000000","10462000000","10356000000","9771000000","8652000000","8855000000","9053000000","9086000000","8940000000","8588000000","8613000000","8943000000","8813000000","9433000000","9501000000","9894000000","9999000000","9685000000","10248000000","10275000000","10382000000","10053000000","10336000000","10695000000","10301000000","11575000000","11093000000","11284000000","10606000000","11666000000","10328000000","10972000000","10526000000","",
"Lithuania","946","Other Depository Corporations Survey, Claims on Public Nonfinancial Corporations (Euro Area-Wide-Residency), Euros","FOSAONEA_EUR","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Austria","122","Other Depository Corporations Survey, Claims on Public Nonfinancial Corporations (Euro Area-Wide-Residency), Euros","FOSAONEA_EUR","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Ireland","178","Other Depository Corporations Survey, Claims on Public Nonfinancial Corporations (Euro Area-Wide-Residency), Euros","FOSAONEA_EUR","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
