"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,"Base Year",
"Slovak Rep.","936","Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros","FOSDEA_EUR","Value",,,,,,,,,,,,,,,,,,"11898770000","12688200000","12401640000","13296520000","13348270000","13720500000","13923890000","15362830000","14786860000","15071580000","14815730000","16664830000","15713090000","16357590000","15919140000","16833260000","16766140000","17360560000","17501700000","18486610000","17722440000","18086820000","17537540000","18298080000","17960290000","18175560000","18493070000","19794260000","19653080000","19739710000","20271200000","22020800000","22322930000","22761200000","22494640000","23900410000","24439000000","25390000000","26053000000","28032000000","28224000000","29391000000","30422000000","31503000000","31644000000","32671000000","33113000000","34686000000","35082000000","35867000000","36596000000","38221000000","38275000000","39363000000","40430000000","42947000000","43334000000","44882000000","46539000000","48469000000","49630000000","50735000000","51333000000","52961000000","53015000000","53480000000","54132000000","53231000000","51337000000","50620000000","50119000000","52715000000","51080000000","51466000000","51759000000","54990000000","",
"Greece","174","Other Depository Corporations Survey, Other Deposits (Euro area-Wide-Residency), Euros","FOSODEA_EUR","Value","65372010000","62801990000","59260000000","59414000000","61590000000","60201000000","60746000000","62140000000","60672000000","59040000000","59561000000","61125000000","59999000000","61156000000","59856000000","60627000000","63657000000","67961000000","71565000000","74555000000","79569000000","86365000000","92257000000","100207000000","108351000000","117590000000","125405000000","135464000000","142257000000","145724000000","145161000000","143626000000","138808000000","131741000000","124308000000","123572000000","121648000000","117973000000","109380000000","109495000000","103257000000","101775000000","90568000000","96291000000","101003000000","108139000000","104335000000","102196000000","101120000000","103274000000","103323000000","104385000000","97358000000","80425000000","65057250000","54104210000","50970340000","50532240000","50666010000","52276000000","47126000000","47669000000","46923000000","47310000000","48456000000","49572000000","50883000000","51671000000","51018000000","51578000000","52027000000","51195000000","50981000000","49295000000","48104000000","47847000000","46467000000","44088000000","40037000000","37679000000","35137000000","33408000000","32110000000","32655000000","35861000000","42175000000","47093000000","49751000000","52042000000","51712000000","52266000000","51227000000","52923000000","",
"Finland","172","Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros","FOSDEA_EUR","Value","39014000000","38790000000","39586000000","40499000000","40952010000","41623000000","43545000000","43285000000","44455000000","44998000000","46545000000","46547000000","46156000000","48528000000","49737000000","49099000000","49367000000","49282000000","50887000000","50583000000","51500000000","51704000000","52868000000","52796000000","53652000000","55603000000","54487000000","54706000000","55545000000","58427000000","62066000000","63409000000","65777000000","65150000000","68055000000","67460000000","70273000000","69447000000","70184000000","72768000000","73772000000","73333000000","75324000000","77348000000","81875000000","82972000000","86741000000","86704000000","90992000000","93532000000","92012000000","94448000000","97850000000","102563000000","108451000000","107613000000","111465000000","115197000000","114927000000","115317000000","117654000000","118446000000","123385000000","125563000000","127235000000","134180000000","135591000000","136688000000","139853000000","140257000000","141289000000","142066000000","146866000000","156997000000","164235000000","169938000000","172046000000","174623000000","178994000000","182715000000","187414000000","184985000000","186718000000","185910000000","170528000000","155333000000","150263000000","141155000000","141715000000","136859000000","136182000000","135934000000","137390000000","",
"Ireland","178","Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros","FOSDEA_EUR","Value","18871000000","18268000000","18577000000","18705000000","19670000000","45120000000","46410000000","47163000000","49720000000","50658000000","52706000000","55862000000","55370000000","56657000000","60111000000","62733000000","65794000000","68101000000","72921000000","76046000000","79099000000","79014000000","86536000000","84299000000","84995000000","81750000000","77288000000","73394000000","71798000000","82128000000","82701000000","88301000000","91237000000","88580000000","88048000000","85604000000","87263000000","84992000000","84444000000","81704000000","80539000000","79489000000","79470000000","81119000000","83075000000","95242000000","98709000000","100886000000","101698000000","101916000000","96780000000","96197000000","103117000000","105398000000","110118000000","112913000000","118830000000","119446000000","121342000000","125525000000","131603000000","131211000000","133847000000","139544000000","142786000000","143618000000","148137000000","152894000000","154414000000","159674000000","166686000000","173402000000","184450000000","190847000000","199075000000","209293000000","232802000000","233045000000","247332000000","257323000000","260483000000","259344000000","265064000000","266588000000","263138000000","258945000000","260503000000","253611000000","254578000000","253488000000","256811000000","257304000000","267366000000","",
"Ireland","178","Other Depository Corporations Survey, Other Deposits (Euro area-Wide-Residency), Euros","FOSODEA_EUR","Value","81061000000","87032980000","85106990000","91700010000","95319000000","72340000000","76605000000","74522000000","75928000000","78793000000","81250000000","83305000000","88608000000","95172000000","98722000000","101149000000","100667000000","103885000000","109663000000","127032000000","133176000000","144815000000","154348000000","160703000000","160300000000","163603000000","178428000000","174413000000","175490000000","172884000000","161412000000","157399000000","155183000000","167274000000","163277000000","159519000000","147874000000","150452000000","158531000000","155263000000","134321000000","138868000000","135072000000","136454000000","126541000000","127138000000","124270000000","119297000000","118538000000","127612000000","127210000000","134431000000","134760000000","130204000000","122539000000","117933000000","124798000000","116212000000","126780000000","125329000000","133510000000","132198000000","129868000000","130569000000","131503000000","124612000000","126511000000","122587000000","133644000000","120029000000","130171000000","142957000000","147977000000","148942000000","162282000000","163245000000","179926000000","161360000000","160559000000","152332000000","170033000000","156792000000","164672000000","187398000000","195491000000","191966000000","198664000000","207508000000","232656000000","225896000000","238271000000","261597000000","305299000000","",
"Germany","134","Other Depository Corporations Survey, Other Deposits (Euro area-Wide-Residency), Euros","FOSODEA_EUR","Value","797047000000","788543000000","778128000000","776164000000","800838000000","807004000000","801939000000","794104000000","801697000000","785210000000","777655000000","782967000000","800667000000","777999000000","781011000000","782830000000","797337000000","798089000000","808631000000","818973000000","840658000000","844663000000","867732000000","898336000000","972805000000","980228000000","1013152000000","1052659000000","1066456000000","988272000000","942228000000","887278000000","862880000000","843862000000","830718000000","828177000000","846760000000","854593000000","873061000000","899355000000","905910000000","908731000000","922708000000","909551000000","870966000000","860109000000","851878000000","844349000000","856362000000","856423000000","855720000000","854981000000","854199000000","851205000000","839405000000","840798000000","850449000000","854478000000","849707000000","856257000000","850420000000","860594000000","852816000000","850005000000","841939000000","844899000000","847661000000","835109000000","829602000000","846615000000","841328000000","836424000000","824355000000","823227000000","813016000000","810384000000","805100000000","782369000000","770191000000","764184000000","770306000000","789216000000","796209000000","868567000000","904239000000","980437000000","1033079000000","1082682000000","1136005000000","1206146000000","1207735000000","1226544000000","1188438000000","",
"Finland","172","Other Depository Corporations Survey, Other Deposits (Euro area-Wide-Residency), Euros","FOSODEA_EUR","Value","25779750000","26370900000","26497010000","25793670000","28992000000","28016000000","28011000000","28579000000","31070000000","30004000000","30162000000","31371000000","34408000000","33291000000","34450000000","35260000000","37517000000","38910000000","40528000000","40690000000","43187000000","45981000000","48783000000","51808000000","56315000000","56360000000","58937000000","59762000000","59258000000","55456000000","51372000000","49993000000","49531000000","49135000000","48595000000","49138000000","51022000000","49906000000","51607000000","54128000000","53948000000","49475000000","50482000000","50427000000","45267000000","43062000000","40916000000","40016000000","39118000000","39335000000","38093000000","38539000000","36184000000","37269000000","36765000000","37000000000","35053000000","33832000000","33430000000","33473000000","30635000000","31226000000","31518000000","29392000000","29605000000","20846000000","20071000000","19625000000","22038000000","22706000000","20337000000","19345000000","18608000000","22155000000","25304000000","22280000000","16336000000","15256000000","17198000000","16048000000","11793000000","15429000000","18317000000","17505000000","17917000000","20538000000","26459000000","34280000000","32415000000","36160000000","38183000000","35826000000","30775000000","",
"Lithuania","946","Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros","FOSDEA_EUR","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5067000000","5232000000","5753000000","5705000000","5907000000","6050000000","6317000000","6206000000","6454000000","6576000000","7467000000","7343000000","7428000000","7680000000","8416000000","8560000000","8872000000","9349000000","10814000000","10427000000","10666000000","11051000000","12131000000","12068000000","12345000000","12919000000","14067000000","13790000000","13825000000","14312000000","15340000000","15158000000","15843000000","16285000000","17456000000","17367000000","17288000000","17980000000","19759000000","20300000000","21791000000","23274000000","26306000000","26938000000","26934000000","27642000000","29673000000","32272000000","32573000000","34457000000","37810000000","36201000000","33400000000","32592000000","33137000000","32563000000","32621000000","33788000000","36922000000","",
"Cyprus","423","Other Depository Corporations Survey, Other Deposits (Euro area-Wide-Residency), Euros","FOSODEA_EUR","Value",,,,,,,,,,,,,,,,,"17780000000","17820000000","18434000000","19130000000","19499000000","20219000000","21326000000","22182000000","23437000000","24040000000","25808000000","30010000000","29712000000","29879000000","29434000000","29555000000","30319000000","31530000000","34726000000","35450000000","35880000000","35871000000","35957000000","35600000000","35664000000","35592000000","36468000000","35750000000","34392000000","30836000000","25193000000","24358000000","23907000000","23147000000","22735000000","22505000000","22442000000","22553000000","22380000000","22528000000","22508000000","23102000000","23170000000","23611000000","23561000000","23832000000","23711000000","23431000000","23182000000","22323000000","21787000000","21135000000","20852000000","20367000000","20179000000","19261000000","18524000000","17441000000","16685000000","15993000000","15553000000","14954000000","14749000000","14438000000","14186000000","13062000000","12549000000","12402000000","12529000000","12787000000","13238000000","13481000000","14334000000","14968000000","15612000000","16054000000","16541000000","",
"Latvia","941","Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros","FOSDEA_EUR","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4077000000","4577000000","4512000000","4798000000","4829000000","5129000000","5338000000","5405000000","5684000000","6104000000","6129000000","6616000000","6794000000","7887000000","7473000000","7434000000","7717000000","8230000000","8368000000","8468000000","8822000000","9347000000","9401000000","9779000000","9716000000","9995000000","10107000000","10063000000","9842000000","10577000000","10246000000","10261000000","10123000000","11025000000","11203000000","11239000000","11338000000","11971000000","12279000000","12819000000","13244000000","14271000000","15090000000","15323000000","15290000000","15965000000","16213000000","16497000000","16820000000","17349000000","16953000000","16064000000","15044000000","15292000000","14856000000","15042000000","15011000000","16251000000","",
"Austria","122","Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros","FOSDEA_EUR","Value","51038000000","51816000000","51695000000","51385000000","54073000000","56218000000","59001000000","60200000000","63442000000","63800000000","66829000000","67188000000","68888000000","71219000000","75510000000","75648000000","77118000000","78174000000","82806000000","81678000000","81980000000","82460000000","84861000000","84920000000","88207000000","87761000000","90024000000","90277000000","94495000000","99154000000","102428000000","106637000000","111204000000","110746000000","115478000000","117420000000","115309000000","114960000000","117084000000","117621000000","119043000000","123920000000","127881000000","129792000000","136675000000","141512000000","143152000000","142688000000","148332000000","141899000000","145608000000","148247000000","157791000000","159564000000","165873000000","169107000000","177956000000","180090000000","183972000000","188996000000","202253000000","208709000000","213788000000","217476000000","225180000000","235328000000","243035000000","242826000000","253040000000","255121000000","257765000000","257384000000","268558000000","273672000000","281619000000","287474000000","304619000000","308371000000","313349000000","315737000000","330586000000","332847000000","332687000000","342518000000","329213000000","324999000000","312650000000","300737000000","299097000000","293225000000","297320000000","292590000000","306188000000","",
"Germany","134","Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros","FOSDEA_EUR","Value","532662990000","516075010000","544088000000","549076000000","582912010000","586044000000","616956000000","616884000000","631386000000","646069000000","653116000000","660208000000","654991000000","683747000000","705894000000","715408000000","725394000000","733040000000","749846000000","734450000000","759646000000","761576000000","777408000000","785131000000","789258000000","796013000000","795803000000","792400000000","831823000000","906021000000","944751000000","979817000000","1015470000000","1031279000000","1089391000000","1089684000000","1108359000000","1110274000000","1125451000000","1143289000000","1169171000000","1186337000000","1233531000000","1275415000000","1326065000000","1345791000000","1382380000000","1412841000000","1439075000000","1446460000000","1475326000000","1508772000000","1548630000000","1583272000000","1636800000000","1666695000000","1705488000000","1722684000000","1762959000000","1785234000000","1831969000000","1853118000000","1910392000000","1937500000000","1979012000000","1992725000000","2035331000000","2065756000000","2120516000000","2147388000000","2201348000000","2235493000000","2285575000000","2371332000000","2450236000000","2509472000000","2565338000000","2640170000000","2682105000000","2717299000000","2720059000000","2789727000000","2811482000000","2850822000000","2796176000000","2724053000000","2677217000000","2635268000000","2605882000000","2550270000000","2573859000000","2622285000000","2705220000000","",
"Croatia, Rep. of","960","Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros","FOSDEA_EUR","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7409000000","7697000000","8163000000","8358000000","8278000000","8850000000","9350000000","9356000000","9190000000","9466000000","10230000000","10449000000","10201000000","10986000000","12186000000","12045000000","11875000000","12953000000","14406000000","15037000000","14949000000","15986000000","17645000000","18176000000","18659000000","20038000000","22049000000","22641000000","22396000000","23407000000","25633000000","25913000000","27666000000","28847000000","29937000000","30919000000","31855000000","33521000000","36249000000","37094000000","37662000000","40641000000","43800000000","45288000000","41644000000","42579000000","44679000000","43063000000","39757000000","40493000000","43235000000","44445000000","",
