"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Chartered banks: Classification of deposit liabilities"

"DESCRIPTION"
"Quarter-end, Millions of dollars"

"LINK"
"https://www.bankofcanada.ca/?p=196861"

"SERIES"
"id","label","description"
"K129_1221","Demand and notice deposits","Canadian dollar deposits"
"K121_1210","Governments","Canadian dollar deposits - Demand and notice deposits"
"KTOT1PG1","Other Canadian","Canadian dollar deposits - Demand and notice deposits"
"K122_1211","Deposit-taking institutions","Canadian dollar deposits - Demand and notice deposits - Other Canadian - Financial institutions"
"K123_1212","Other","Canadian dollar deposits - Demand and notice deposits - Other Canadian - Financial institutions"
"K124_1213","Non-financial corporations","Canadian dollar deposits - Demand and notice deposits - Other Canadian"
"K125_1214","Unincorporated businesses","Canadian dollar deposits - Demand and notice deposits - Other Canadian"
"K1217","RRSP","Canadian dollar deposits - Demand and notice deposits - Other Canadian - Individuals"
"K126_1215_1218","Other","Canadian dollar deposits - Demand and notice deposits - Other Canadian - Individuals"
"KTOT2PG1","Non-residents","Canadian dollar deposits - Demand and notice deposits"
"K127_1219","Deposit-taking institutions","Canadian dollar deposits - Demand and notice deposits - Non-residents"
"K128_1220","Other","Canadian dollar deposits - Demand and notice deposits - Non-residents"
"K1231","Fixed-term: Pre-encashable deposits","Canadian dollar deposits"
"K1222","Governments","Canadian dollar deposits - Fixed-term: Pre-encashable deposits"
"KTOT1PG2","Other Canadian","Canadian dollar deposits - Fixed-term: Pre-encashable deposits"
"K1223","Deposit-taking institutions","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Other Canadian - Financial institutions"
"K1224","Other","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Other Canadian - Financial institutions"
"K1225","Non-financial corporations","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Other Canadian"
"K1226","Unincorporated businesses","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Other Canadian"
"K1227","RRSP","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Other Canadian - Individuals"
"K1228","Other","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Other Canadian - Individuals"
"KTOT2PG2","Non-residents","Canadian dollar deposits - Fixed-term: Pre-encashable deposits"
"K1229","Deposit-taking institutions","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Non-residents"
"K1230","Other","Canadian dollar deposits - Fixed-term: Pre-encashable deposits - Non-residents"
"K1243","Fixed-term: Non pre-encashable deposits","Canadian dollar deposits"
"K1232","Governments","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits"
"KTOT1PG3","Other Canadian","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits"
"K1233","Deposit-taking institutions","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Other Canadian - Financial institutions"
"K1234","Other","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Other Canadian - Financial institutions"
"K1235","Non-financial corporations","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Other Canadian"
"K1236","Unincorporated businesses","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Other Canadian"
"K1237","RRSP","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Other Canadian - Individuals"
"K1238","Other","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Other Canadian - Individuals"
"KTOT2PG3","Non-residents","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits"
"K1239","Deposit-taking institutions","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Non-residents"
"K1240","Other","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits - Non-residents"
"K1241","Bearer deposit notes and other negotiable notes","Canadian dollar deposits - Fixed-term: Non pre-encashable deposits"
"K1244","Booked at securities subsidiaries","Canadian dollar deposits"
"K1245","Total Canadian dollar deposits","Canadian dollar deposits"
"K1254_1263","Demand and notice deposits","Foreign currency deposits"
"K1246_1255","Governments","Foreign currency deposits - Demand and notice deposits"
"KTOT1PG4","Other Canadian","Foreign currency deposits - Demand and notice deposits"
"K1247_1256","Deposit-taking institutions","Foreign currency deposits - Demand and notice deposits - Other Canadian - Financial institutions"
"K1248_1257","Other","Foreign currency deposits - Demand and notice deposits - Other Canadian - Financial institutions"
"K1249_1258","Non-financial corporations","Foreign currency deposits - Demand and notice deposits - Other Canadian"
"K1250_1259","Unincorporated businesses","Foreign currency deposits - Demand and notice deposits - Other Canadian"
"K1251_1260","Individuals","Foreign currency deposits - Demand and notice deposits - Other Canadian"
"KTOT2PG4","Non-residents","Foreign currency deposits - Demand and notice deposits"
"K1252_1261","Deposit-taking institutions","Foreign currency deposits - Demand and notice deposits - Non-residents"
"K1253_1262","Other","Foreign currency deposits - Demand and notice deposits - Non-residents"
"K1274","Fixed-term deposits","Foreign currency deposits"
"K1264","Governments","Foreign currency deposits - Fixed-term deposits"
"KTOT1PG5","Other Canadian","Foreign currency deposits - Fixed-term deposits"
"K1265","Deposit-taking institutions","Foreign currency deposits - Fixed-term deposits - Other Canadian - Financial institutions"
"K1266","Other","Foreign currency deposits - Fixed-term deposits - Other Canadian - Financial institutions"
"K1267","Non-financial corporations","Foreign currency deposits - Fixed-term deposits - Other Canadian"
"K1268","Unincorporated businesses","Foreign currency deposits - Fixed-term deposits - Other Canadian"
"K1269","Individuals","Foreign currency deposits - Fixed-term deposits - Other Canadian"
"KTOT2PG5","Non-residents","Foreign currency deposits - Fixed-term deposits"
"K1270","Deposit-taking institutions","Foreign currency deposits - Fixed-term deposits - Non-residents"
"K1271","Other","Foreign currency deposits - Fixed-term deposits - Non-residents"
"K1272","Bearer deposit notes and other negotiable notes","Foreign currency deposits - Fixed-term deposits"
"K1275","Booked at securities subsidiaries","Foreign currency deposits"
"K1276","Total foreign currency deposits","Foreign currency deposits"

"OBSERVATIONS"
"date","K129_1221","K121_1210","KTOT1PG1","K122_1211","K123_1212","K124_1213","K125_1214","K1217","K126_1215_1218","KTOT2PG1","K127_1219","K128_1220","K1231","K1222","KTOT1PG2","K1223","K1224","K1225","K1226","K1227","K1228","KTOT2PG2","K1229","K1230","K1243","K1232","KTOT1PG3","K1233","K1234","K1235","K1236","K1237","K1238","KTOT2PG3","K1239","K1240","K1241","K1244","K1245","K1254_1263","K1246_1255","KTOT1PG4","K1247_1256","K1248_1257","K1249_1258","K1250_1259","K1251_1260","KTOT2PG4","K1252_1261","K1253_1262","K1274","K1264","KTOT1PG5","K1265","K1266","K1267","K1268","K1269","KTOT2PG5","K1270","K1271","K1272","K1275","K1276"
"1986Q2","106081","3315","99844","303","2766","14501","6474","4713","71087","2914","1281","1633","36003","663","33157","524","1379","7831","2165","2526","18732","2183","836","1347","47699","621","39698","1308","2901","3664","1931","8705","21189","2499","1291","1208","4882","0","189783","18382","98","3328","92","408","1591","191","1044","14957","3647","11310","168582","1511","17280","5153","3398","6342","215","2172","126820","73864","52956","22971","0","186965"
"1986Q3","107073","1807","102265","309","2633","15046","6423","4696","73159","2995","1289","1706","34722","452","31974","471","1675","7864","2071","2532","17362","2295","1026","1268","49710","558","41721","1858","3498","3917","2078","8760","21609","2676","1427","1249","4755","0","191505","19741","86","3498","108","495","1454","224","1216","16157","3964","12193","168794","1706","16742","4556","3242","6494","352","2097","126281","71960","54321","24065","0","188535"
"1986Q4","112736","3027","106513","466","3378","16880","6424","4681","74684","3190","1449","1741","32669","723","30219","332","1528","7816","1937","2679","15927","1728","654","1074","54222","929","45118","2172","3456","4132","2718","9088","23553","3078","1713","1365","5097","0","199627","20756","549","3959","190","421","1765","269","1314","16248","4488","11760","171220","1063","16115","4274","3033","6454","350","2004","130551","73838","56713","23492","0","191976"
"1987Q1","113939","4515","105952","545","2932","15704","7376","4643","74752","3472","1604","1868","32286","671","29263","144","1395","8230","1957","2312","15225","2352","1266","1085","56540","578","47549","1776","3575","4009","2485","11241","24463","3465","1956","1508","4949","0","202765","19836","144","3812","150","529","1604","200","1330","15879","4010","11869","158203","1250","14343","3650","2646","5854","333","1859","118850","67705","51145","23761","0","178039"
"1987Q2","120286","3049","113621","471","3402","17325","7932","4538","79954","3616","1754","1862","30394","578","27690","114","1818","7787","1894","1982","14095","2126","1027","1099","57431","408","48432","1941","4101","4258","2566","11487","24078","3531","1883","1649","5060","0","208111","21602","110","4342","182","649","1895","200","1414","17150","3975","13175","162946","1237","16330","4677","3306","5981","394","1971","119769","70480","49288","25610","0","184548"
"1987Q3","124586","4399","116668","351","3169","17783","7649","4471","83246","3519","1647","1872","28757","573","26080","371","1353","7944","1787","2007","12617","2104","1010","1094","58969","349","50479","1751","4217","4250","2682","12038","25541","3114","1558","1556","5027","0","212313","20506","84","4136","74","495","1813","233","1515","16286","3540","12746","158137","1185","14797","3595","3115","5838","290","1959","116431","67404","49027","25724","0","178643"
"1987Q4","125197","3855","117721","430","3955","19846","7761","4375","81354","3620","1771","1849","28053","875","24936","372","1873","8034","1662","2030","10964","2242","1049","1193","63634","453","53826","2118","5352","4781","1827","12457","27291","3425","1870","1556","5929","0","216884","22491","121","4457","231","405","2131","261","1429","17913","4640","13273","161639","1009","14804","3565","2739","6180","359","1960","118224","68847","49376","27603","0","184131"
"1988Q1","123354","2627","116726","569","3317","18484","7359","4126","82870","4001","1949","2052","26165","1061","23015","463","1448","7251","1565","1889","10399","2089","941","1147","69802","398","58693","1713","5167","4610","2155","16074","28975","3451","1769","1682","7260","0","219321","21135","126","4010","226","427","1724","236","1396","17000","3878","13122","149855","965","12460","2900","2520","4696","591","1753","107808","59993","47815","28622","0","170991"
"1988Q2","132323","3498","124633","836","3859","20079","8194","3879","87787","4191","2015","2177","26009","1259","22463","393","1450","7658","1662","1871","9429","2287","1135","1151","74747","533","62172","2052","6143","5064","2204","16537","30172","3779","1895","1884","8263","0","233079","20698","99","4322","189","504","1865","257","1504","16278","3543","12735","143432","846","11111","3018","1932","4111","385","1666","103309","58073","45236","28165","0","164130"
"1988Q3","132546","3246","125796","283","3176","19805","7952","3842","90738","3503","1579","1924","24320","790","21007","307","1364","7605","1519","1750","8462","2524","1307","1217","76975","428","63383","1666","5566","5367","2117","16870","31796","3929","1745","2184","9235","0","233841","19439","87","4114","132","448","1815","188","1529","15238","3334","11904","141072","1417","12421","3525","2821","4107","236","1731","99390","52328","47062","27844","0","160511"
"1988Q4","136183","3696","128647","436","3669","21265","7580","3877","91820","3839","1881","1959","24185","935","20796","295","1787","7577","1525","1769","7844","2453","1389","1064","79449","616","67447","2142","5425","5461","2132","18173","34114","4432","2196","2236","6953","1727","241544","18596","89","4246","83","438","1981","185","1558","14261","2997","11264","142287","619","11720","2944","2549","4025","403","1800","99828","53759","46069","30120","255","161137"
"1989Q1","133879","3337","127157","394","3358","18847","7660","3649","93248","3385","1412","1973","22995","869","20022","269","1795","7771","1446","1582","7159","2103","922","1181","89433","1437","74332","2272","5340","5651","2311","22242","36517","4486","2655","1830","9179","1528","247834","18645","141","3977","103","389","1791","192","1502","14527","3194","11333","138532","691","12558","2639","2806","4884","379","1851","95522","49811","45711","29762","178","157356"
"1989Q2","141059","4415","132861","318","3811","19551","8341","3501","97339","3783","1660","2123","22799","739","19501","319","1888","7878","1437","1493","6486","2559","1402","1157","91393","490","77817","2079","4749","5754","2364","22588","40283","4727","2438","2289","8359","1711","256962","18904","106","4224","36","414","1936","358","1474","14574","3183","11391","139960","586","11301","2860","2352","3814","260","2016","98190","50378","47812","29884","143","159007"
"1989Q3","145591","3929","137324","219","3498","20095","8312","3481","101719","4338","2167","2171","22019","828","18653","247","1739","7223","1359","1444","6642","2539","1218","1320","92794","576","79432","2282","5292","5779","2452","22669","40959","5070","2918","2152","7716","1804","262209","18608","102","4335","81","412","2011","218","1613","14171","3822","10349","138236","602","11580","2390","1949","4975","328","1938","98614","49737","48877","27440","139","156983"
"1989Q4","154249","4528","145203","233","4724","21768","8327","3537","106614","4518","2271","2247","22312","748","19335","343","1951","7531","1257","1427","6825","2229","1161","1069","96230","1086","81693","2407","5340","5596","2338","23240","42773","6731","3751","2980","6720","1839","274630","18140","114","4631","59","452","2183","218","1718","13396","2610","10787","139829","483","11596","2957","2475","3973","264","1927","99343","51500","47844","28407","139","158109"
"1990Q1","150732","4730","141987","222","3464","19285","8184","3541","107290","4015","1774","2241","22595","1025","19182","638","2480","6871","1285","1385","6524","2388","1354","1034","102182","620","87775","2923","4827","5912","2405","27943","43764","5953","3442","2511","7834","2034","277543","18686","126","4478","42","448","2055","193","1739","14083","2685","11398","143654","489","11675","2766","1804","4862","223","2020","104823","54065","50759","26667","171","162511"
"1990Q2","152860","4204","144028","232","3482","20142","8410","3475","108288","4628","2013","2615","22281","855","18766","857","2192","6733","1213","1320","6451","2659","1417","1243","105982","959","89641","2391","4832","6198","2297","28629","45295","7278","4520","2758","8103","1848","282971","19499","153","5064","59","522","2302","192","1989","14282","3035","11247","146861","483","12071","2698","1980","4850","386","2157","108877","57804","51073","25429","187","166546"
