Time Series Search Export,Search term,Search filters,,Last update of Credit to the non-financial sector data,Downloaded at,Source,Source URL,Download URL,About Credit to the non-financial sector
,,,,2025-06-16,2025-06-25 14:23 CEST,BIS,"https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.CA.P.B.M.USD.A?","https://data.bis.org/topics/TOTAL_CREDIT/BIS,WS_TC,2.0/Q.CA.P.B.M.USD.A?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code",https://data.bis.org/topics/TOTAL_CREDIT

DATAFLOW_ID,KEY,FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,Unit,Unit multiplier,TIME_PERIOD,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS,OBS_VALUE
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1963-06-30,F,,A,7.606
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1963-09-30,F,,A,7.659
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1963-12-31,F,,A,7.906
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1964-03-31,F,,A,7.963
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1964-06-30,F,,A,8.394
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1964-09-30,F,,A,8.612
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1964-12-31,F,,A,8.91
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1965-03-31,F,,A,8.977
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1965-06-30,F,,A,9.563
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1965-09-30,F,,A,10.025
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1965-12-31,F,,A,10.544
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1966-03-31,F,,A,10.399
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1966-06-30,F,,A,10.76
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1966-09-30,F,,A,10.883
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1966-12-31,F,,A,11.075
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1967-03-31,F,,A,11.276
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1967-06-30,F,,A,11.537
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1967-09-30,F,,A,12.094
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1967-12-31,F,,A,12.627
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1968-03-31,F,,A,12.895
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1968-06-30,F,,A,13.424
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1968-09-30,F,,A,13.847
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1968-12-31,F,,A,14.534
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1969-03-31,F,,A,13.041
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1969-06-30,F,,A,13.922
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1969-09-30,F,,A,14.432
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1969-12-31,F,,A,15.044
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1970-03-31,F,,A,15.093
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1970-06-30,F,,A,15.826
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1970-09-30,F,,A,16.967
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1970-12-31,F,,A,17.426
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1971-03-31,F,,A,17.678
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1971-06-30,F,,A,18.182
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1971-09-30,F,,A,19.513
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1971-12-31,F,,A,20.776
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1972-03-31,F,,A,21.93
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1972-06-30,F,,A,23.754
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1972-09-30,F,,A,24.785
"BIS,WS_TC,2.0",Q.CA.P.B.M.USD.A,Q,CA,P,B,M,USD,A,US dollar,Billions,1972-12-31,F,,A,25.811
