Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Sweden,SWE,174444541108.456,178277144632.824,180227351648.906,180688307192.513,191797327583.021,203627407961.271,211678675068.223,219479910038.053,229199087522.528,243559999570.165,262879690462.463,266427022654.496,276560060890.271,284796233898.644,304065756556.434,308796792803.43,342150890773.634,373372894927.264,386364552808.263,372620769211.713,393469864282.61,418907440738.07,430342211368.346,442560499744.059,454179386100.656,478054809710.972,499029649583.466,517711152885.815,540532181742.57,586373975348.365,595211778250.692,653401537327.891,696077173608.22,708040808266.424,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Switzerland,CHE,191005018296.087,195655861759.977,200027191466.873,204510564935.933,211529959212.077,217004091175.056,222747306457.878,232005796537.153,240727947879.243,248201049346.696,263627541287.892,273454243730.002,281956062254.352,284293141607.109,296889791565.933,308825076428.302,346323158154.133,384574558162.247,411512093039.143,410201362487.713,425928053025.405,454912095759.708,475340741851.246,498760487993.313,519299911605.986,540696214191.359,563950610001.631,576360597477.87,601867859451.371,632274562999.588,630567393919.535,703436916586.541,791822854699.455,795895651007.545,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Turkiye,TUR,459622869909.126,479623002509.401,520003285775.237,575128310466.254,555430499634.542,607831667113.743,661369939615.493,722169136910.542,558260454866.419,546531228972.082,609012301398.467,595895417268.146,612446571084.024,641096984002.846,735785897620.4,815102819831.078,945291887133.81,1043000500284.33,1139547816150.73,1112437870348.36,1268553834186.7,1454111481655.52,1550688774591.71,1703669566586.39,1860471150579.8,2022939852651.27,2116397789617.2,2264269908091.15,2303774665903.06,2350308130312.31,2391489351774.66,2637031078345.11,3322805935564.67,3611520825480.45,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,United Kingdom,GBR,976325796619.738,998208368444.485,1025052535905.89,1075475712162.61,1140688764185.98,1194092093587.88,1276092434676.89,1345091654521.78,1385425367480.76,1437339061115.79,1562409690541.96,1650357031262.37,1727031050462.62,1808366865946.19,1922940594923.09,1976697912294.61,2113503098384.48,2178376960471.15,2271085135764.89,2181122499274.74,2290198529537.39,2354769903633.16,2442462879506.98,2562195072837.32,2666661894153.29,2767977872942.74,2892297884267.12,3041891554350.64,3129649825363.44,3335878386954.67,3219066303872.09,3416480549650.62,3957840318954.77,3979687714893.52,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,United States,USA,5963144000000,6158129000000,6520327000000,6858559000000,7287236000000,7639749000000,8073122000000,8577552000000,9062817000000,9631172000000,10250952000000,10581929000000,10929108000000,11456450000000,12217196000000,13039197000000,13815583000000,14474228000000,14769862000000,14478067000000,15048971000000,15599732000000,16253970000000,16880683000000,17608138000000,18295019000000,18804912999999.9,19612102000000.1,20656515999999.9,21539982000000.1,21354105000000,23681171000000,26006893000000,27720708999999.9,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Euro area,EMU,5375938369528.27,5680159304345.97,5866522010439.85,5958170994293.93,6235571659703.73,6520372239963.99,6740300602558.6,7027950571534.67,7376997039796.83,7686591020022.76,8192987825255.68,8611490563708.65,8994988818119.36,9200649140959.81,9617438459292.26,10012038676527.2,10892778402636.5,11590058921762.6,12086548335082.8,11829060468235.7,12190374859832.9,12743833687686.3,12888894067325.9,13346021044005,13729629711406.1,14155254898913.2,15049662749630.3,15803533222145.7,16505107622230.5,17754748895133.4,17242198076067,18813612045428.5,20893654714024.4,21520228554181.4,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
