date,eu_med_leverage
1990 Q1,1.114609661379886
1990 Q2,1.135609957825763
1990 Q3,1.1359688521112412
1990 Q4,1.118710374654135
1991 Q1,1.1275268348862875
1991 Q2,1.1396126424051047
1991 Q3,1.1455832585840517
1991 Q4,1.12551109352687
1992 Q1,1.123292678874082
1992 Q2,1.1359627107362391
1992 Q3,1.158310837601294
1992 Q4,1.1185475509655334
1993 Q1,1.1103434796697045
1993 Q2,1.1167259895725852
1993 Q3,1.1089753061643066
1993 Q4,1.1064854251424925
1994 Q1,1.0769048954149496
1994 Q2,1.0753403337929235
1994 Q3,1.0804864945293218
1994 Q4,1.0853772802071027
1995 Q1,1.113280619107909
1995 Q2,1.1134209436861806
1995 Q3,1.1177808466706871
1995 Q4,1.1061693211974846
1996 Q1,1.106650514918599
1996 Q2,1.1219743293228677
1996 Q3,1.1339506999219977
1996 Q4,1.149790401116055
1997 Q1,1.1517439276641739
1997 Q2,1.190803072756295
1997 Q3,1.2111284536055813
1997 Q4,1.2278428265676549
1998 Q1,1.2080346867843816
1998 Q2,1.2243379256192448
1998 Q3,1.2325227714516083
1998 Q4,1.2407076172839717
1999 Q1,1.2488924631163352
1999 Q2,1.2570773089486988
1999 Q3,1.2652621547810623
1999 Q4,1.2734470006134258
2000 Q1,1.2816318464457892
2000 Q2,1.2898166922781527
2000 Q3,1.2745886405731306
2000 Q4,1.25934875917581
2001 Q1,1.2520238638530192
2001 Q2,1.2686712923792085
2001 Q3,1.2690757472595338
2001 Q4,1.2525699847960052
2002 Q1,1.2360642223324765
2002 Q2,1.2566515438554076
2002 Q3,1.2774827052075994
2002 Q4,1.2611899738110663
2003 Q1,1.2829953898918625
2003 Q2,1.2879133602834756
2003 Q3,1.2664477346098186
2003 Q4,1.2172366600422366
2004 Q1,1.2660995706781153
2004 Q2,1.2784491637008357
2004 Q3,1.2984687461826439
2004 Q4,1.3289252524691273
2005 Q1,1.3100264112916504
2005 Q2,1.3398349209547133
2005 Q3,1.330800507355469
2005 Q4,1.321463100225588
2006 Q1,1.342763515965167
2006 Q2,1.3421320352239785
2006 Q3,1.3669321705214028
2006 Q4,1.3513998753788798
2007 Q1,1.3480165839176945
2007 Q2,1.3414468875992818
2007 Q3,1.3375779128905205
2007 Q4,1.2566515576031225
2008 Q1,1.2394447047303088
2008 Q2,1.2431912368020992
2008 Q3,1.2570162050290574
2008 Q4,1.2226942860116055
2009 Q1,1.21913537351993
2009 Q2,1.237822704326155
2009 Q3,1.2570635823230978
2009 Q4,1.2553129713119713
2010 Q1,1.2389703787604147
2010 Q2,1.2538147311800676
2010 Q3,1.2502569268575772
2010 Q4,1.230065279913908
2011 Q1,1.2428843292535132
2011 Q2,1.2793244190781798
2011 Q3,1.2611198227835148
2011 Q4,1.2722834717118099
2012 Q1,1.2475074687445429
2012 Q2,1.2492352596480465
2012 Q3,1.2529788232239332
2012 Q4,1.2387943665515162
2013 Q1,1.2353596665484008
2013 Q2,1.233336202903185
2013 Q3,1.227052977246604
2013 Q4,1.1961115340723703
2014 Q1,1.199909342190483
2014 Q2,1.1909223912793443
2014 Q3,1.1738647855363442
2014 Q4,1.1390041835684874
2015 Q1,1.1394330276206073
2015 Q2,1.1341252055777375
2015 Q3,1.120877909920296
2015 Q4,1.1047478660224828
2016 Q1,1.0954978630075782
2016 Q2,1.0934623687217737
2016 Q3,1.0789596019874252
2016 Q4,1.0543636445956521
2017 Q1,1.057175972608185
2017 Q2,1.0433727468035223
2017 Q3,1.0489379720255503
2017 Q4,1.0435884126748727
2018 Q1,1.027750001515069
2018 Q2,1.0206710730022628
2018 Q3,1.0267293475489976
2018 Q4,1.008159821080554
2019 Q1,0.987208774815994
2019 Q2,0.975848991457621
2019 Q3,0.9749378503787349
2019 Q4,0.9617937952003114
2020 Q1,0.9545460971073861
2020 Q2,0.92425982347722
2020 Q3,0.9093972750625329
2020 Q4,0.9032760727240792
2021 Q1,0.90348072001517
2021 Q2,0.901408801562786
2021 Q3,0.9047288958966514
2021 Q4,0.88118738215203
2022 Q1,0.8772315240957013
2022 Q2,0.8599596029119859
2022 Q3,0.8592093871847561
2022 Q4,0.8385223415117569
2023 Q1,0.8619604963001093
2023 Q2,0.864306482137341
2023 Q3,0.8662618711325053
2023 Q4,0.8420353997438701
2024 Q1,0.8291156209394174
2024 Q2,0.8188661965128304
2024 Q3,0.8168141894597819
2024 Q4,0.8060616137450791
