block,date,block_ndc_usd_bil,ndc_qoq
Asia Pacific,1990 Q1,4776.42973822969,NA
Central and E. Europe,1990 Q1,70.86882062504701,NA
Emerging Asia,1990 Q1,421.5658745334588,NA
Latin America,1990 Q1,193.38389299197829,NA
ME/Africa,1990 Q1,52.47550219713127,NA
North America,1990 Q1,3615.3012560507163,NA
W. Europe,1990 Q1,4555.742078377772,NA
Asia Pacific,1990 Q2,5065.830820126111,0.060589414637486794
Central and E. Europe,1990 Q2,74.44608446262652,0.05047725933674152
Emerging Asia,1990 Q2,449.1526707268145,0.06543887411163363
Latin America,1990 Q2,194.74423122162227,0.007034392619764018
ME/Africa,1990 Q2,54.785686536796916,0.044024053947823605
North America,1990 Q2,3618.2390639233995,8.126038923494949e-4
W. Europe,1990 Q2,4944.474214157905,0.08532795076901167
Asia Pacific,1990 Q3,5783.294733741797,0.14162808413681405
Central and E. Europe,1990 Q3,82.44174060005298,0.10740197009878272
Emerging Asia,1990 Q3,483.3785391844928,0.07620096837517254
Latin America,1990 Q3,201.31379730301242,0.03373432958799105
ME/Africa,1990 Q3,59.18321730435974,0.08026787735167296
North America,1990 Q3,3614.919300311742,-9.175080897108057e-4
W. Europe,1990 Q3,5363.600322952761,0.0847665678172087
Asia Pacific,1990 Q4,6011.17468164782,0.03940313582437538
Central and E. Europe,1990 Q4,80.46586591949898,-0.02396692095742492
Emerging Asia,1990 Q4,486.0030095522096,0.005429430880701691
Latin America,1990 Q4,193.44192143571075,-0.03910251543987875
ME/Africa,1990 Q4,64.2328456064375,0.08532196342265719
North America,1990 Q4,3591.1229943848,-0.006582804192859726
W. Europe,1990 Q4,5691.821806344725,0.061194247078289354
Asia Pacific,1991 Q1,5779.862634177255,-0.03848034031963221
Central and E. Europe,1991 Q1,73.87575690445973,-0.08189943573877945
Emerging Asia,1991 Q1,496.04856471208984,0.02066973858687815
Latin America,1991 Q1,185.95958307446597,-0.03868002502100609
ME/Africa,1991 Q1,64.50783532806042,0.004281138707567633
North America,1991 Q1,3548.7101580720396,-0.011810466079574256
W. Europe,1991 Q1,5109.876623430406,-0.10224234045163172
Asia Pacific,1991 Q2,6059.2088968554,0.04833095185105707
Central and E. Europe,1991 Q2,58.466508216730205,-0.2085832935377926
Emerging Asia,1991 Q2,510.1496557535054,0.028426835686138796
Latin America,1991 Q2,201.2581082220756,0.08226801165435749
ME/Africa,1991 Q2,64.27875272546137,-0.003551236860360185
North America,1991 Q2,3529.4183191731627,-0.005436296017299336
W. Europe,1991 Q2,4918.816984966704,-0.03739026449046401
Asia Pacific,1991 Q3,6289.972964641745,0.03808485096232728
Central and E. Europe,1991 Q3,58.564812719637345,0.001681381459325948
Emerging Asia,1991 Q3,537.1118303405253,0.0528515001097003
Latin America,1991 Q3,198.88774644013043,-0.0117777206736418
ME/Africa,1991 Q3,11.237063518595907,-0.8251823029829138
North America,1991 Q3,3474.5832755919378,-0.01553656682840332
W. Europe,1991 Q3,5402.581498568314,0.09834976887331459
Asia Pacific,1991 Q4,6793.009201303555,0.07997430823463958
Central and E. Europe,1991 Q4,58.130211470319736,-0.0074208595423695956
Emerging Asia,1991 Q4,571.0498583933742,0.0631861488348382
Latin America,1991 Q4,212.25211092238484,0.06719551466322926
ME/Africa,1991 Q4,13.483013140604477,0.19986979857253728
North America,1991 Q4,3450.251678926871,-0.007002738094087357
W. Europe,1991 Q4,5965.33832062757,0.10416442995045738
Asia Pacific,1992 Q1,6431.225685236229,-0.05325821080853255
Central and E. Europe,1992 Q1,51.24304548208751,-0.11847825449161997
Emerging Asia,1992 Q1,603.6419681583393,0.05707401776906429
Latin America,1992 Q1,250.26780546508132,0.17910632020332584
ME/Africa,1992 Q1,80.3224409498662,4.957306435308062
North America,1992 Q1,3402.403538513286,-0.013868014529440753
W. Europe,1992 Q1,5535.976738285011,-0.07197606560852843
Asia Pacific,1992 Q2,6848.52441572782,0.064886345296443
Central and E. Europe,1992 Q2,48.77114962152346,-0.04823866023786816
Emerging Asia,1992 Q2,636.8587125930471,0.05502722836857976
Latin America,1992 Q2,293.43217813310616,0.17247273410901176
ME/Africa,1992 Q2,84.33943737940551,0.050010885899826496
North America,1992 Q2,3363.7444916173154,-0.011362275655539378
W. Europe,1992 Q2,6067.2599582262355,0.09596919298216022
Asia Pacific,1992 Q3,7270.483451979649,0.06161313162333015
Central and E. Europe,1992 Q3,47.77486200745821,-0.020427806639718327
Emerging Asia,1992 Q3,662.613580564375,0.04044047362791625
Latin America,1992 Q3,305.6195782534415,0.04153395921972436
ME/Africa,1992 Q3,86.74388298777399,0.028509149255430133
North America,1992 Q3,3343.128493018777,-0.00612888364437747
W. Europe,1992 Q3,6338.26032108587,0.04466602135486242
Asia Pacific,1992 Q4,7080.295331341976,-0.02615893728303409
Central and E. Europe,1992 Q4,50.38636500795556,0.05466270106839177
Emerging Asia,1992 Q4,671.5258662906984,0.01345020082252546
Latin America,1992 Q4,335.9686179160401,0.09930332289586175
ME/Africa,1992 Q4,83.35364018914761,-0.03908336451925043
North America,1992 Q4,3324.584035722716,-0.005547036954991702
W. Europe,1992 Q4,5493.404660693238,-0.13329456626797098
Asia Pacific,1993 Q1,7574.764384455245,0.06983734858127022
Central and E. Europe,1993 Q1,80.24889608886743,0.5926708758648662
Emerging Asia,1993 Q1,758.9289929785009,0.13015600898680235
Latin America,1993 Q1,357.8299985979031,0.06506971043148524
ME/Africa,1993 Q1,84.910657484781,0.018679655646714144
North America,1993 Q1,3309.4110210568133,-0.004563883632619503
W. Europe,1993 Q1,5381.647696228056,-0.020343843457379496
Asia Pacific,1993 Q2,8222.765528114202,0.08554736632980542
Central and E. Europe,1993 Q2,83.61737081382054,0.041975340336431355
Emerging Asia,1993 Q2,797.4125889289546,0.05070776885123407
Latin America,1993 Q2,374.25503842891476,0.045901796650281934
ME/Africa,1993 Q2,83.89426758927522,-0.011970109826177633
North America,1993 Q2,3321.6400936037444,0.0036952413795448003
W. Europe,1993 Q2,5243.225337801942,-0.025721185450904294
Asia Pacific,1993 Q3,8449.49948247418,0.02757392918292023
