block,date,med_leverage,lev_qoq
Asia Pacific,1990 Q1,1.1943340880146431,NA
Asia Pacific,1990 Q2,1.1393647371728746,-0.015114646305849744
Asia Pacific,1990 Q3,1.1389696539236978,0.019188043079994443
Asia Pacific,1990 Q4,1.1321810256743556,-0.007044728887450613
Asia Pacific,1991 Q1,1.1737446701859877,0.016439406861883055
Asia Pacific,1991 Q2,1.1728923859677118,0.008604868681743982
Asia Pacific,1991 Q3,1.1600935499098186,-0.003998217298634921
Asia Pacific,1991 Q4,1.1561684888297972,-0.009723243367729395
Asia Pacific,1992 Q1,1.1576017159072438,0.005911903626062587
Asia Pacific,1992 Q2,1.1558376471240792,-0.0032767281834795714
Asia Pacific,1992 Q3,1.1686226467650833,0.024266689022760135
Asia Pacific,1992 Q4,1.1719404277168914,-0.003626392716111315
Asia Pacific,1993 Q1,1.1835446078972791,0.009607986738471408
Asia Pacific,1993 Q2,1.1872172626360715,0.0015690850853762317
Asia Pacific,1993 Q3,1.1796768939120683,-0.005766049049782451
Asia Pacific,1993 Q4,1.1783470846575137,-0.005310735550825341
Asia Pacific,1994 Q1,1.190725687628345,0.012378602970831154
Asia Pacific,1994 Q2,1.2040961994588342,8.077337601254397e-4
Asia Pacific,1994 Q3,1.1923717854018288,0.001520804314990909
Asia Pacific,1994 Q4,1.1888988898625432,-0.005550628755179643
Asia Pacific,1995 Q1,1.1932357793358592,0.004336889473316119
Asia Pacific,1995 Q2,1.2109435469833865,0.015209809588676348
Asia Pacific,1995 Q3,1.2179057056403877,0.011795593754801159
Asia Pacific,1995 Q4,1.22718284499895,-0.007013429269514482
Asia Pacific,1996 Q1,1.223334316313518,0.010938016039942766
Asia Pacific,1996 Q2,1.2170007484800156,-0.011495564176472461
Asia Pacific,1996 Q3,1.2327165855418527,0.02060931601513677
Asia Pacific,1996 Q4,1.1993482276859995,-0.03336835785585335
Asia Pacific,1997 Q1,1.2170238489099128,0.017675621223913418
Asia Pacific,1997 Q2,1.2212445346617913,-3.0809693719413556e-4
Asia Pacific,1997 Q3,1.2328337303169548,0.0035248548605661956
Asia Pacific,1997 Q4,1.2449489866124859,0.035740654119954085
Asia Pacific,1998 Q1,1.2711568513492497,0.023937772781627897
Asia Pacific,1998 Q2,1.274597805627129,-0.0030072178237580682
Asia Pacific,1998 Q3,1.2816093044464978,-0.006362980593419276
Asia Pacific,1998 Q4,1.293814393111428,2.483153823710782e-4
Asia Pacific,1999 Q1,1.30231181142661,0.008497418315181915
Asia Pacific,1999 Q2,1.3058176889371689,-0.011092710137298512
Asia Pacific,1999 Q3,1.275369832999874,-0.006602782316771083
Asia Pacific,1999 Q4,1.2623602791710462,-0.0013155014463583914
Asia Pacific,2000 Q1,1.266074995388386,0.012635651675146298
Asia Pacific,2000 Q2,1.2377683695829453,-0.011657519507488223
Asia Pacific,2000 Q3,1.263577167203937,0.010863194110227403
Asia Pacific,2000 Q4,1.2685461905850781,0.010442434253302713
Asia Pacific,2001 Q1,1.2665968057124903,-0.0156622139688134
Asia Pacific,2001 Q2,1.2511145369814227,-0.016961715954320833
Asia Pacific,2001 Q3,1.2503791319111883,0.005459314032468021
Asia Pacific,2001 Q4,1.2337933143602142,-0.01658581755097399
Asia Pacific,2002 Q1,1.1969769601332376,9.358196097431493e-4
Asia Pacific,2002 Q2,1.214927481256674,0.017950521123436425
Asia Pacific,2002 Q3,1.2197988946613476,-0.013582203463423537
Asia Pacific,2002 Q4,1.2240715840683107,-0.003799379330900521
Asia Pacific,2003 Q1,1.245400494388486,0.019589021085983482
Asia Pacific,2003 Q2,1.2527188380703467,0.007318343681860795
Asia Pacific,2003 Q3,1.2638800257716816,0.0027853578378668753
Asia Pacific,2003 Q4,1.258880456922539,-0.00801029782172874
Asia Pacific,2004 Q1,1.2490044883080889,-0.005747779981427281
Asia Pacific,2004 Q2,1.257226000151055,0.0030779025578934194
Asia Pacific,2004 Q3,1.250794518237353,-0.0019713765827164
Asia Pacific,2004 Q4,1.2468869339958926,0.002941588897730274
Asia Pacific,2005 Q1,1.2546016544123217,0.007701263737423969
Asia Pacific,2005 Q2,1.2613650220863477,0.006763367674025855
Asia Pacific,2005 Q3,1.2821932589932055,0.014592245980583007
Asia Pacific,2005 Q4,1.298330729572549,0.01613747057934356
Asia Pacific,2006 Q1,1.308354319250649,0.006475916096004286
Asia Pacific,2006 Q2,1.3009859872800273,-0.003786615381771108
Asia Pacific,2006 Q3,1.315852470499538,0.014866483219510673
Asia Pacific,2006 Q4,1.3062547393506398,0.001336033826757288
Asia Pacific,2007 Q1,1.4041644496030792,0.009119291342028935
Asia Pacific,2007 Q2,1.4211191992221117,-0.00117921854823827
Asia Pacific,2007 Q3,1.4467700447034844,0.014095470622846884
Asia Pacific,2007 Q4,1.4395039561447616,0.00405138606114025
Asia Pacific,2008 Q1,1.4515442640291725,0.006892305982505231
Asia Pacific,2008 Q2,1.4669707487836248,0.003463858483076676
Asia Pacific,2008 Q3,1.4896059240296915,0.0026403576107516535
Asia Pacific,2008 Q4,1.4569670973500597,-0.03263882667963158
Asia Pacific,2009 Q1,1.4481085186431295,-0.008663422174069846
Asia Pacific,2009 Q2,1.4266566121346216,-0.006351149916968335
Asia Pacific,2009 Q3,1.4165276003013858,-0.003053055964314988
