"date","CL","RB","HO","NG","TG","LU","HG","AL","LD","TR","TH","ZC","KE","ZS","ZM","RS","KC","SB","SW","CC","CT","LE","GF","HE","LB","CU","XR","ZK"
1990-12-01,4.609375,NA,NA,NA,1.63888895511627,NA,NA,NA,NA,5.01157522201538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.25,15.8125,NA,NA,NA,NA
1991-01-01,4.375,NA,NA,NA,1.61111104488373,NA,NA,NA,NA,5.11918497085571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.875,16.125,NA,NA,NA,NA
1991-02-01,4.609375,NA,NA,NA,1.77777802944183,NA,NA,NA,NA,5.62649202346802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.125,16.1875,NA,NA,NA,NA
1991-03-01,4.77343797683716,NA,NA,NA,2.30555605888367,NA,NA,NA,NA,5.93395090103149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.125,16.625,NA,NA,NA,NA
1991-04-01,4.96875,NA,NA,NA,2.19444394111633,NA,NA,NA,NA,6.14917182922363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.375,17.4375,NA,NA,NA,NA
1991-05-01,5.15625,NA,NA,NA,2.08333301544189,NA,NA,NA,NA,6.2875280380249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.125,17.375,NA,NA,NA,NA
1991-06-01,4.59375,NA,NA,NA,2.08333301544189,NA,NA,NA,NA,6.21066284179688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,15.9375,NA,NA,NA,NA
1991-07-01,5.015625,NA,NA,NA,1.88888895511627,NA,NA,NA,NA,6.90244483947754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.875,17.0625,NA,NA,NA,NA
1991-08-01,5.140625,NA,NA,NA,1.75,NA,NA,NA,NA,7.02542877197266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.125,16.9375,NA,NA,NA,NA
1991-09-01,5.390625,NA,NA,NA,1.75,NA,NA,NA,NA,7.16378498077393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75,17.8125,NA,NA,NA,NA
1991-10-01,5.21875,NA,NA,NA,2.25,NA,NA,NA,NA,7.60960006713867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75,18,NA,NA,NA,NA
1991-11-01,5.28125,NA,NA,NA,2.08333301544189,NA,NA,NA,NA,7.88631296157837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.125,18,NA,NA,NA,NA
1991-12-01,6.109375,NA,NA,NA,2.22222208976746,NA,NA,NA,NA,9.0239086151123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75,18.375,NA,NA,NA,NA
1992-01-01,5.890625,NA,NA,NA,2.72222208976746,NA,NA,NA,NA,8.97779083251953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,18.3125,NA,NA,NA,NA
1992-02-01,5.890625,NA,NA,NA,2.69444394111633,NA,NA,NA,NA,8.97779083251953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.25,18.0625,NA,NA,NA,NA
1992-03-01,6.171875,NA,NA,NA,3.19444394111633,NA,NA,NA,NA,9.19301223754883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.125,18.125,NA,NA,NA,NA
1992-04-01,6.25,NA,NA,NA,3.91666698455811,NA,NA,NA,NA,8.80868816375732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.875,18.5,NA,NA,NA,NA
1992-05-01,6.625,NA,NA,NA,3.61111092567444,NA,NA,NA,NA,8.07078838348389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,18.9375,NA,NA,NA,NA
1992-06-01,6.46875,NA,NA,NA,4,NA,NA,NA,NA,7.79407501220703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,19.875,NA,NA,NA,NA
1992-07-01,6.5625,NA,NA,NA,4.08333301544189,NA,NA,NA,NA,8.68570518493652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.25,22.3125,NA,NA,NA,NA
1992-08-01,6.96875,NA,NA,NA,3.22222208976746,NA,NA,NA,NA,9.40823268890381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,21,NA,NA,NA,NA
1992-09-01,7.1875,NA,NA,NA,3.11111092567444,NA,NA,NA,NA,9.70031833648682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.875,20.875,NA,NA,NA,NA
1992-10-01,7.46875,NA,NA,NA,3.61111092567444,NA,NA,NA,NA,9.68494510650635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,20.4375,NA,NA,NA,NA
1992-11-01,7.390625,NA,NA,NA,3.63888907432556,NA,NA,NA,NA,9.82330226898193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,19.6875,NA,NA,NA,NA
1992-12-01,6.96875,NA,NA,NA,3.44444394111633,NA,NA,NA,NA,9.53121566772461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,18.625,NA,NA,NA,NA
1993-01-01,7.078125,NA,NA,NA,3.91666698455811,NA,NA,NA,NA,9.63882732391357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.125,18.1875,NA,NA,NA,NA
1993-02-01,7.796875,NA,NA,NA,3.80555605888367,NA,NA,NA,NA,9.59270763397217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.75,18.8125,NA,NA,NA,NA
