"date","HYG","JNK","ANGL","SJNK","SHYG","USHY","HYEM.MI","CEMB","XHY.TO","HYD","PGHY","VWEHX","VWEAX","HYT","MHCAX"
1990-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535966098308563,NA,NA,NA
1990-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526260614395142,NA,NA,NA
1990-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534994781017303,NA,NA,NA
1990-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536246955394745,NA,NA,NA
1990-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548983752727509,NA,NA,NA
1990-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557919859886169,NA,NA,NA
1990-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568567931652069,NA,NA,NA
1990-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.540407776832581,NA,NA,NA
1990-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50760018825531,NA,NA,NA
1990-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.497565001249313,NA,NA,NA
1990-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509233117103577,NA,NA,NA
1990-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515300273895264,NA,NA,NA
1991-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.519515633583069,NA,NA,NA
1991-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546942055225372,NA,NA,NA
1991-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566845715045929,NA,NA,NA
1991-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.584470212459564,NA,NA,NA
1991-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58773684501648,NA,NA,NA
1991-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.598618865013123,NA,NA,NA
1991-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61313807964325,NA,NA,NA
1991-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623344719409943,NA,NA,NA
1991-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.634527325630188,NA,NA,NA
1991-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.648539960384369,NA,NA,NA
1991-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.656275570392609,NA,NA,NA
1991-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666860699653625,NA,NA,NA
1992-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.683032631874084,NA,NA,NA
1992-02-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.694552659988403,NA,NA,NA
1992-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699530243873596,NA,NA,NA
1992-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.703691720962524,NA,NA,NA
1992-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714538812637329,NA,NA,NA
1992-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.723434686660767,NA,NA,NA
1992-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.739167034626007,NA,NA,NA
1992-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748192667961121,NA,NA,NA
1992-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.757300019264221,NA,NA,NA
1992-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.738470315933228,NA,NA,NA
1992-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.752496659755707,NA,NA,NA
1992-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.762645602226257,NA,NA,NA
1993-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.784106731414795,NA,NA,NA
1993-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.801585257053375,NA,NA,NA
1993-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813963234424591,NA,NA,NA
1993-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821168541908264,NA,NA,NA
1993-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831721246242523,NA,NA,NA
1993-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.850911915302277,NA,NA,NA
1993-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85828310251236,NA,NA,NA
1993-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867861390113831,NA,NA,NA
