"date","^AXJO","CBA.AX","BHP.AX","WBC.AX","CSL.AX","ANZ.AX","NAB.AX","WES.AX","MQG.AX","WOW.AX","RIO.AX","TLS.AX","TCL.AX","SCG.AX","IAG.AX","ALL.AX","SUN.AX","S32.AX","ORG.AX","GMG.AX","AMC.AX","AGL.AX","BXB.AX","FMG.AX","QBE.AX","STO.AX","TWE.AX","ASX.AX","APA.AX","COH.AX","LLC.AX","RHC.AX","AMP.AX","SHL.AX","QAN.AX","CPU.AX","JHX.AX","VCX.AX","DXS.AX","SGP.AX","URW.AX","GPT.AX","AZJ.AX","MPL.AX","MGR.AX","ORI.AX"
1989-12-31,NA,NA,0.685844004154205,0.825334906578064,NA,0.77937650680542,0.805428862571716,0.257719069719315,NA,NA,2.63350749015808,NA,NA,NA,NA,NA,0.632639467716217,NA,NA,NA,0.438934713602066,NA,0.972670018672943,0.00559118762612343,0.289333909749985,0.769400358200073,NA,NA,NA,NA,1.60962557792664,NA,NA,0.0392965972423553,NA,NA,0.93969988822937,NA,NA,0.24290032684803,NA,0.681892037391663,NA,NA,NA,1.51970934867859
1990-01-31,NA,NA,0.728617429733276,0.907867908477783,NA,0.838501513004303,0.829909861087799,0.258315563201904,NA,NA,2.67833280563354,NA,NA,NA,NA,NA,0.695208311080933,NA,NA,NA,0.431789547204971,NA,1.00803971290588,0.00497010117396712,0.30394658446312,0.814881861209869,NA,NA,NA,NA,1.5974315404892,NA,NA,0.0392965972423553,NA,NA,1.00585114955902,NA,NA,0.255356818437576,NA,0.705958604812622,NA,NA,NA,1.49944615364075
1990-02-28,NA,NA,0.712393045425415,0.816164135932922,NA,0.747126221656799,0.793188512325287,0.232663005590439,NA,NA,2.58868193626404,NA,NA,NA,NA,NA,0.68130373954773,NA,NA,NA,0.417498558759689,NA,0.958521902561188,0.00372757646255195,0.306869357824326,0.837622880935669,NA,NA,NA,NA,1.54865550994873,NA,NA,0.0360218808054924,NA,NA,0.953546643257141,NA,NA,0.239789396524429,NA,0.69308340549469,NA,NA,NA,1.45892107486725
1990-03-31,NA,NA,0.713868200778961,0.779482960700989,NA,0.720251560211182,0.77605140209198,0.218249753117561,NA,NA,2.76798391342163,NA,NA,NA,NA,NA,0.707728445529938,NA,NA,NA,0.415888398885727,NA,0.909003973007202,0.00372757646255195,0.335955500602722,0.831937491893768,NA,NA,NA,NA,1.60980272293091,NA,NA,0.0327471569180489,NA,NA,0.925382673740387,NA,NA,0.241044908761978,NA,0.706780910491943,NA,NA,NA,1.16004467010498
1990-04-30,NA,NA,0.64454597234726,0.770312607288361,NA,0.642313718795776,0.746674060821533,0.220729887485504,NA,NA,2.5321147441864,NA,NA,NA,NA,NA,0.69258975982666,NA,NA,NA,0.419063061475754,NA,0.855949580669403,0.00248505058698356,0.348632901906967,0.786455571651459,NA,NA,NA,NA,1.56612610816956,NA,NA,0.0327471569180489,NA,NA,0.94549959897995,NA,NA,0.247321993112564,NA,0.734175264835358,NA,NA,NA,1.13978147506714
1990-05-31,NA,NA,0.704569041728973,0.758085072040558,NA,0.679938971996307,0.790740191936493,0.2108094394207,NA,NA,2.79804611206055,NA,NA,NA,NA,NA,0.703943610191345,NA,NA,NA,0.446577131748199,NA,0.965595960617065,0.00248505058698356,0.366381496191025,0.833832800388336,NA,NA,NA,NA,1.63476061820984,NA,NA,0.0327471569180489,NA,NA,1.0589599609375,NA,NA,0.244811087846756,NA,0.738386511802673,NA,NA,NA,1.13218331336975
1990-06-30,NA,NA,0.707599461078644,0.753256738185883,NA,0.699606239795685,0.822604835033417,0.223830044269562,NA,NA,2.83273196220398,NA,NA,NA,NA,NA,0.700158894062042,NA,NA,NA,0.455043196678162,NA,0.983280420303345,0.00186361116357148,0.38665360212326,0.795049607753754,NA,NA,NA,NA,1.69763576984406,NA,NA,0.0163735784590244,NA,NA,1.09257781505585,NA,NA,0.254854738712311,NA,0.763654828071594,NA,NA,NA,1.18537282943726
1990-07-31,NA,NA,0.803057253360748,0.82407557964325,NA,0.716464161872864,0.863479435443878,0.234990566968918,NA,NA,2.98303961753845,NA,NA,NA,NA,NA,0.768282651901245,NA,NA,NA,0.460334211587906,NA,1.06109464168549,0.00248505058698356,0.399986565113068,0.868736922740936,NA,NA,NA,NA,1.77937400341034,NA,NA,0.0163735784590244,NA,NA,1.0715663433075,NA,NA,0.248577460646629,NA,0.786114811897278,NA,NA,NA,1.13532364368439
1990-08-31,NA,NA,0.837149143218994,0.753256738185883,NA,0.639198422431946,0.843042314052582,0.2108094394207,NA,NA,2.54367828369141,NA,NA,NA,NA,NA,0.768282651901245,NA,NA,NA,0.437052994966507,NA,0.962058901786804,0.00186361116357148,0.391986817121506,0.980446934700012,NA,NA,NA,NA,1.73536098003387,NA,NA,0.0163735784590244,NA,NA,0.953904390335083,NA,NA,0.240599751472473,NA,0.785540103912354,NA,NA,NA,1.08000612258911
1990-09-30,NA,NA,0.818209111690521,0.659904539585114,NA,0.566147267818451,0.745964407920837,0.190727815032005,NA,NA,2.40493178367615,NA,NA,NA,NA,NA,0.748683571815491,NA,NA,NA,0.388215154409409,NA,0.891319215297699,0.00124252529349178,0.378653883934021,1.02788758277893,NA,NA,NA,NA,1.60800719261169,NA,NA,0.00982414931058884,NA,NA,0.874062061309814,NA,NA,0.234268292784691,NA,0.771152496337891,NA,NA,NA,1.00098180770874
