"date","MAR15","MANR24"
"1980-1",NA,NA
"1980-2",NA,-1.16890393760897
"1980-3",NA,-1.78006662672315
"1980-4",NA,-1.76587651352257
"1980-5",NA,-1.57131191465166
"1980-6",NA,-1.36986283565013
"1980-7",NA,-0.947296937823444
"1980-8",NA,-0.872498585350354
"1980-9",NA,-0.721934694702553
"1980-10",NA,-0.615549350731903
"1980-11",NA,-0.324172650418422
"1980-12",NA,-0.494307774367677
"1981-1",NA,-0.618463841848271
"1981-2",NA,-0.611642852653635
"1981-3",NA,-0.360917695414207
"1981-4",NA,-0.30468793306831
"1981-5",NA,-0.33937801649565
"1981-6",NA,-0.483805856435478
"1981-7",NA,-0.734718907018729
"1981-8",NA,-0.973484539651826
"1981-9",NA,-1.47045932724069
"1981-10",NA,-1.37637351490526
"1981-11",NA,-1.18008268302125
"1981-12",NA,-1.23415411452706
"1982-1",NA,-1.42189109345399
"1982-2",NA,-1.79813370134299
"1982-3",NA,-1.95967819458569
"1982-4",NA,-1.86330661291346
"1982-5",NA,-2.01341529418927
"1982-6",NA,-2.23823810669474
"1982-7",NA,-2.25802765384879
"1982-8",NA,-1.94211240720739
"1982-9",NA,-1.93922591660965
"1982-10",NA,-1.52742189309567
"1982-11",NA,-1.30625736398143
"1982-12",NA,-1.20003166603086
"1983-1",NA,-1.09857368654814
"1983-2",NA,-0.977971162825847
"1983-3",NA,-0.858990159135663
"1983-4",NA,-0.581679622258644
"1983-5",NA,-0.473674719145569
"1983-6",NA,-0.388088823783421
"1983-7",NA,-0.530227319624709
"1983-8",NA,-0.558877586292243
"1983-9",NA,-0.55671362692499
"1983-10",NA,-0.812248958143333
"1983-11",NA,-0.601308407696177
"1983-12",NA,-0.508378912930117
"1984-1",NA,-0.617493986077103
"1984-2",NA,-0.77574843666461
"1984-3",NA,-0.716271843255145
"1984-4",NA,-0.792461143192062
"1984-5",NA,-1.19091855641693
"1984-6",NA,-1.22878472036456
"1984-7",NA,-1.39891651049448
"1984-8",NA,-0.964651888100625
"1984-9",NA,-1.1138836243874
"1984-10",NA,-1.19714759659809
"1984-11",NA,-1.31984772514919
"1984-12",NA,-1.25794175386812
"1985-1",NA,-0.886467187348826
"1985-2",NA,-1.01526283596996
"1985-3",NA,-1.08857817113308
"1985-4",NA,-1.17272877766099
"1985-5",NA,-1.11283667278206
"1985-6",NA,-1.13704621768366
"1985-7",NA,-0.997176538932803
"1985-8",NA,-1.07815915313579
"1985-9",NA,-1.28847140822568
"1985-10",NA,-1.13337977478537
"1985-11",NA,-0.877851900162029
"1985-12",NA,-0.872094122836696
"1986-1",NA,-0.892685106688211
"1986-2",NA,-0.744613742330136
"1986-3",NA,-0.600991174256714
"1986-4",NA,-0.43505918513794
"1986-5",NA,-0.483396037795444
"1986-6",NA,-0.5837787040444
"1986-7",NA,-1.1724529740867
"1986-8",NA,-0.981605188969438
"1986-9",NA,-1.16513467719321
"1986-10",NA,-1.0477028167389
"1986-11",NA,-1.04220068827732
"1986-12",NA,-1.05929101606849
"1987-1",NA,-0.613960855959573
"1987-2",NA,-0.33568478318577
"1987-3",NA,-0.214434853510054
"1987-4",NA,-0.159350908276138
"1987-5",NA,-0.0456985413752558
"1987-6",NA,0.13823569044428
"1987-7",NA,0.398942492627732
"1987-8",NA,0.443828044542494
"1987-9",NA,0.482291486201051
"1987-10",NA,-0.996904265561602
"1987-11",NA,-1.24918912416199
"1987-12",NA,-0.825679554219263
"1988-1",NA,-0.830800313956625
"1988-2",NA,-0.60673553508844
"1988-3",NA,-0.441992805245203
"1988-4",NA,-0.399311092538223
"1988-5",NA,-0.499414085765376
"1988-6",NA,-0.315863984516956
"1988-7",NA,-0.348976080827075
"1988-8",NA,-0.604569905128022
"1988-9",NA,-0.568343954664837
"1988-10",NA,-0.611422839139136
"1988-11",NA,-0.649914394603527
"1988-12",NA,-0.595417719545666
"1989-1",NA,-0.307124744782876
"1989-2",NA,-0.358964429753806
"1989-3",NA,-0.332648214271208
"1989-4",NA,-0.199152977635279
"1989-5",NA,-0.161201234637498
"1989-6",NA,-0.271590415557136
"1989-7",NA,-0.0346549222503157
"1989-8",NA,0.0271843119239672
"1989-9",NA,-0.0656371130288408
"1989-10",NA,-0.344491810843463
"1989-11",NA,-0.364014307346505
"1989-12",NA,-0.306243481421282
"1990-1",-1.0389318032671,-0.439596684534482
"1990-2",-1.01297414913747,-0.391148578253266
"1990-3",-0.881419835534114,-0.358365338681286
"1990-4",-1.1122695740401,-0.53361320433673
"1990-5",-0.659947376948639,-0.218241017583992
"1990-6",-0.659466697660321,-0.242922696680495
"1990-7",-0.672712749693751,-0.304370448922185
"1990-8",-1.33644096251444,-0.831697795244855
"1990-9",-1.88681737568945,-1.32737955989041
