"quarter","WRLD_NOM_RATE","OECD_CPI_FORECAST","real.rate"
1990 Q1,6.24231889711231,7.43030969253788,-1.18799079542557
1990 Q2,6.34191147464045,7.65032166817211,-1.30841019353166
1990 Q3,6.25616693829563,8.27228454364933,-2.0161176053537
1990 Q4,6.21727854794898,9.04780319857167,-2.83052465062269
1991 Q1,5.89011604571272,8.4695731279063,-2.57945708219358
1991 Q2,5.47478819046586,8.16335377641749,-2.68856558595163
1991 Q3,5.2886913191237,7.68800228732211,-2.39931096819841
1991 Q4,5.06651595900945,7.01798323890552,-1.95146727989606
1992 Q1,4.75656259880307,6.83440886651764,-2.07784626771457
1992 Q2,4.61123237375788,6.20761858380049,-1.59638621004261
1992 Q3,4.46068345971255,5.77403599611221,-1.31335253639966
1992 Q4,4.261206679241,5.52173352588096,-1.26052684663996
1993 Q1,4.38287717233105,5.34368150181777,-0.960804329486724
1993 Q2,4.04346100762691,5.26159553649833,-1.21813452887142
1993 Q3,3.79422855897884,5.44684481135911,-1.65261625238027
1993 Q4,3.55944666126806,5.21996636250437,-1.66051970123631
1994 Q1,3.44251890072488,4.99380933877005,-1.55129043804517
1994 Q2,3.554243732792,5.65010607912929,-2.09586234633729
1994 Q3,3.55710544386193,5.63647010672494,-2.07936466286301
1994 Q4,3.7417466432789,5.77947252610902,-2.03772588283012
1995 Q1,4.03761871809531,6.50270757682649,-2.46508885873117
1995 Q2,4.53059495506076,6.47280143498934,-1.94220647992858
1995 Q3,4.42601455500567,6.47700127537408,-2.05098672036841
1995 Q4,4.29360516067459,6.47009693404558,-2.17649177337099
1996 Q1,4.02275204877019,6.18701949447277,-2.16426744570258
1996 Q2,3.86243680809721,5.73575995524111,-1.8733231471439
1996 Q3,3.77642206868222,5.5201217853233,-1.74369971664108
1996 Q4,3.65328642320185,5.46509348346939,-1.81180706026755
1997 Q1,3.54756103713342,5.19776012545135,-1.65019908831793
1997 Q2,3.59180060206335,4.94943569103376,-1.35763508897042
1997 Q3,3.58660590255915,5.14564005631983,-1.55903415376068
1997 Q4,3.64413416871976,5.05507102229512,-1.41093685357536
1998 Q1,3.68934814538149,4.82449209341509,-1.1351439480336
1998 Q2,3.64316508013353,4.43903334371684,-0.795868263583313
1998 Q3,3.61328300880463,3.91014616222613,-0.296863153421497
1998 Q4,3.38974155569214,3.56642404321753,-0.176682487525388
1999 Q1,4.16878423336905,3.1921577180778,0.97662651529125
1999 Q2,3.44479580389956,3.20026230311693,0.24453350078263
1999 Q3,3.62417136889726,3.31995343636003,0.304217932537227
1999 Q4,3.56594206703113,3.36630145401187,0.199640613019257
2000 Q1,3.82625055489534,3.73015090548534,0.0960996494099988
2000 Q2,4.02958679680441,3.53860751221774,0.490979284586666
2000 Q3,4.27411546956247,3.60245536133149,0.67166010823098
2000 Q4,4.53280049846809,3.47962071225125,1.05317978621684
2001 Q1,4.23039958472657,3.16759304446085,1.06280654026572
2001 Q2,3.75410215634052,3.67624108504937,0.0778610712911463
2001 Q3,3.27047934818413,3.21383897152698,0.0566403766571462
