"quarter","lvl.index","QoQ.pct","YoY.pct"
1990 Q1,102.725916777776,NA,NA
1990 Q2,102.926350066666,0.194924525198292,NA
1990 Q3,103.327216644446,0.388712873112507,NA
1990 Q4,103.928516511116,0.580250827917794,NA
1991 Q1,104.730249666675,0.768467211531032,1.9511462654894
1991 Q2,105.472416178229,0.706146701362709,2.47367764417399
1991 Q3,106.155016045778,0.645098064632954,2.73674206386727
1991 Q4,106.77804926932,0.585193286544694,2.74181991032258
1992 Q1,107.341515848857,0.526311437174343,2.49332565375593
1992 Q2,107.869690236907,0.490843816256703,2.27289195179452
1992 Q3,108.362572433471,0.455882988139145,2.0795591861072
1992 Q4,108.820162438548,0.421387715240051,1.91248405753992
1993 Q1,109.242460252138,0.387318410011162,1.77093120797536
1993 Q2,109.802146284657,0.511025821974087,1.79147269590281
1993 Q3,110.499220536103,0.632839085752668,1.97175837989951
1993 Q4,111.333683006477,0.752337811938819,2.3097930673905
1994 Q1,112.305533695779,0.86912914586943,2.80392206159634
1994 Q2,113.256070575547,0.842822970353385,3.14558905063307
1994 Q3,114.185293645781,0.817114550449194,3.3358362998354
1994 Q4,115.093202906482,0.791974842708765,3.37680367565523
1995 Q1,115.979798357649,0.767376367668948,3.27166840400137
1995 Q2,116.929773810637,0.815750689970862,3.24371419246734
1995 Q3,117.943129265446,0.862902215966521,3.29099790321705
1995 Q4,119.019864722077,0.908785670754853,3.41172346970449
1996 Q1,120.159980180529,0.953361345565984,3.60423270437993
1996 Q2,121.359107356,0.992995660026974,3.78802883219198
1996 Q3,122.617246248492,1.03137048037585,3.9630260890618
1996 Q4,123.934396858002,1.06846835304273,4.12916965365522
1997 Q1,125.310559184533,1.10427615687918,4.28643463178464
1997 Q2,126.508358196472,0.951324910753204,4.24298674624113
1997 Q3,127.527793893821,0.802595348165625,4.00477730137383
1997 Q4,128.368866276579,0.657355520678937,3.57807802434182
1998 Q1,129.031575344746,0.514925715196757,2.96943544456945
1998 Q2,129.804586878809,0.597299717032573,2.60554221818128
1998 Q3,130.687900878768,0.678190294983683,2.47797510523708
1998 Q4,131.681517344622,0.757421518702728,2.58057203754181
1999 Q1,132.785436276372,0.834830460306879,2.90925761511929
1999 Q2,134.103473005861,0.98771241441975,3.31181372740359
1999 Q3,135.63562753309,1.13603923366279,3.78591026487765
1999 Q4,137.381899858059,1.27925569930181,4.32891618230575
2000 Q1,139.342289980768,1.41687860404867,4.93793136375948
2000 Q2,140.961466378618,1.15531409840051,5.11395657326241
2000 Q3,142.239429051609,0.902519284515257,4.8687808938016
2000 Q4,143.176177999742,0.656412815924234,4.21764304298446
2001 Q1,143.771713223017,0.41508308410716,3.17880755573983
2001 Q2,144.480122420996,0.491522021099211,2.4961829163495
2001 Q3,145.30140559368,0.566830727461909,2.152691811607
2001 Q4,146.235562741068,0.640852067446129,2.13679732485315
2002 Q1,147.28259386316,0.7134383612307,2.44198289179263
2002 Q2,148.394716337378,0.752257735276007,2.70943424658421
2002 Q3,149.57193016372,0.790168943585634,2.93908001274406
2002 Q4,150.814235342187,0.827143459971236,3.13102539170067
2003 Q1,152.121631872779,0.863156059910253,3.28554643335168
2003 Q2,153.668518641185,1.01173956122889,3.55390167114651
2003 Q3,155.454895647404,1.15578232475686,3.93320155542869
2003 Q4,157.480762891437,1.29476810357181,4.42035696041803
2004 Q1,159.746120373283,1.4282496915377,5.0121001245109
2004 Q2,161.882750055033,1.32865007461058,5.34542239782299
2004 Q3,163.890651936688,1.2327140864036,5.42649766940644
2004 Q4,165.769826018248,1.14007869395705,5.26354011411905
2005 Q1,167.520272299712,1.05041366975387,4.86656696780072
2005 Q2,169.40624440423,1.11952708322054,4.64749600969749
2005 Q3,171.427742331801,1.18622068823067,4.59885314143715
2005 Q4,173.584766082425,1.25041950830562,4.71433206626937
2006 Q1,175.877315656103,1.31206364417151,4.98867584302842
2006 Q2,178.237267848549,1.33289462875927,5.21292675802847
2006 Q3,180.664622659762,1.35267708925628,5.38820625081959
2006 Q4,183.159380089742,1.37143042383885,5.51581467855899
2007 Q1,185.72154013849,1.38917526610092,5.59721101363346
2007 Q2,188.082567024261,1.26325967995555,5.52370404604587
2007 Q3,190.242460747055,1.14183151050735,5.30144637410885
2007 Q4,192.201221306873,1.02434830499734,4.93659741188284
2008 Q1,193.958848703714,0.91031656085514,4.43530058984105
2008 Q2,194.909113903778,0.488735089005488,3.62954790947558
2008 Q3,195.052016907064,0.0732908992165271,2.52811919122715
2008 Q4,194.387557713573,-0.341238991392867,1.13752472114095
2009 Q1,192.915736323305,-0.760039224050324,-0.537800872391347
2009 Q2,192.714389477436,-0.104424862423791,-1.12602452619309
2009 Q3,193.783517175965,0.553239956575169,-0.650339202441463
2009 Q4,196.123119418892,1.20009771728551,0.892835799643299
2010 Q1,199.733196206219,1.82398346628014,3.53390553453263
2010 Q2,202.886702114689,1.56652485908291,5.27843959386562
2010 Q3,205.583637144303,1.32052389653534,6.08933109497809
2010 Q4,207.824001295061,1.08386293565816,5.96609003101607
2011 Q1,209.607794566962,0.85465656784578,4.94389442932064
2011 Q2,211.387491303917,0.845476136277767,4.18991934938302
2011 Q3,213.163091505927,0.836465960361643,3.68679845677777
2011 Q4,214.93459517299,0.827621280784285,3.42144980060979
2012 Q1,216.702002305107,0.818937513712559,3.38451523370167
2012 Q2,218.482772041905,0.818401645068434,3.35652819105865
2012 Q3,220.276904383384,0.817824625972019,3.33726295072974
2012 Q4,222.084399329544,0.817207558668365,3.32650225562801
2013 Q1,223.905256880386,0.816551524329334,3.32403692566559
2013 Q2,225.779925053312,0.833773986104092,3.33992146987538
2013 Q3,227.708403848322,0.850513804736064,3.37370796350214
2013 Q4,229.690693265418,0.866771202761818,3.42495643946032
2014 Q1,231.726793304599,0.882547070378337,3.49323483208432
2014 Q2,233.769115166724,0.877487827318113,3.53848559012777
2014 Q3,235.817658851794,0.872493346812231,3.56124537628983
2014 Q4,237.872424359809,0.867562344549988,3.56206469581943
2015 Q1,239.933411690768,0.862693570353024,3.54150604215246
2015 Q2,241.932901740534,0.829898861971579,3.49224343343546
2015 Q3,243.870894509109,0.797854221854166,3.41502654912536
2015 Q4,245.747389996491,0.766517401221023,3.31058367016548
2016 Q1,247.562388202681,0.735848538247197,3.17962240363006
2016 Q2,249.579903271647,0.811649372538081,3.16079436740446
2016 Q3,251.799935203389,0.885574676145939,3.25132718696954
2016 Q4,254.222483997907,0.957494059841402,3.4487015310873
2017 Q1,256.847549655201,1.02729120091398,3.75063494900452
2017 Q2,259.327179612595,0.960778934434181,3.90547324250654
2017 Q3,261.661373870089,0.896069543319022,3.91637855614801
2017 Q4,263.850132427684,0.833006009507997,3.78709557013683
2018 Q1,265.893455285378,0.771442274583833,3.5218967992183
2018 Q2,268.327305689383,0.911184072619164,3.47056798683139
2018 Q3,271.151683639697,1.04708572947745,3.62694333872884
2018 Q4,274.366589136321,1.17867462075871,3.98576897114864
2019 Q1,277.972022179255,1.30553402520297,4.54263414679115
2019 Q2,279.381280832268,0.505697785820125,4.11958638144767
2019 Q3,278.59436509536,-0.282061148856894,2.74484058360236
2019 Q4,275.611274968532,-1.07653864240822,0.453657945790442
2020 Q1,270.432010451783,-1.8970729918169,-2.71250742012059
2020 Q2,268.37886707073,-0.762105370914856,-3.93813562911671
2020 Q3,269.451844825372,0.399002568808271,-3.28166015377203
2020 Q4,273.65094371571,1.54636752175987,-0.711266711801417
2021 Q1,280.976163741743,2.64164729868561,3.89900340286804
2021 Q2,286.853192626168,2.07007217420498,6.88367372479057
2021 Q3,291.282030368986,1.53214134128987,8.10170201572098
2021 Q4,294.262676970197,1.01808531751191,7.53212577110651
2022 Q1,295.7951324298,0.519426700472891,5.27410172119711
2022 Q2,297.631516474643,0.618910495551006,3.75743555433279
2022 Q3,299.771829104726,0.716541614121535,2.9146318174812
2022 Q4,302.21607032005,0.812061056253466,2.70282097333683
2023 Q1,304.964240120614,0.905229803944785,3.09981696300905
2023 Q2,307.794849842829,0.923896488280906,3.41473695009469
2023 Q3,310.707899486697,0.941975176985732,3.6481314520554
2023 Q4,313.703389052217,0.959467773989875,3.80102842314187
2024 Q1,316.781318539389,0.976377032453613,3.87490625592741
2024 Q2,319.089765654767,0.72607712924766,3.66962469245526
2024 Q3,320.628730398353,0.481139039102985,3.19297672445584
2024 Q4,321.398212770146,0.239704189496148,2.45289786035694
